,comp_id,top3
25402,2489957,"[2489376, 2489957, 2494408, 2522967]"
25403,2489958,"[2489844, 2489958, 2509173, 2510508]"
25404,2489964,"[2489964, 2525684, 2533039]"
25405,2489966,"[2489966, 2491696, 2509474, 2535244]"
25406,2489971,"[2489971, 2492870, 2512391, 2528094]"
25407,2489977,"[2488477, 2489977, 2500226, 2513550]"
25408,2489979,"[2489979, 2496133, 2509430, 2513514]"
25409,2489983,"[2489983, 2493721]"
25410,2489986,"[2489986, 2504683, 2513651, 2529890]"
25411,2489989,"[2489989, 2496331, 2504624, 2524746]"
25412,2489996,"[2489996, 2515480, 2529260, 2531986]"
25413,2490000,"[2490000, 2491218, 2491645, 2525467]"
25414,2490001,"[2490001, 2507485, 2520818, 2521894]"
25415,2490002,"[2490002, 2490261, 2505116, 2531731]"
25416,2490003,"[2490003, 2512432, 2520037, 2521850]"
25417,2490005,"[2489876, 2490005, 2490859, 2510458]"
25418,2490007,"[2490007, 2516438, 2527091, 2535226]"
25419,2490013,"[2489093, 2490013, 2509932, 2525552]"
25420,2490023,"[2470541, 2488979, 2490023, 2491389]"
25421,2490026,"[2490026, 2496666, 2506233, 2508042]"
25422,2490030,"[2490030, 2505938, 2509571, 2517898]"
25423,2490035,"[2490035, 2496328, 2510548, 2511116]"
25424,2490037,"[2490037, 2499402, 2499691, 2503107]"
25425,2490043,"[2490043, 2503174, 2514173, 2515096]"
25426,2490046,"[2490046, 2503592, 2505518, 2510207]"
25427,2490055,"[2490055, 2507007, 2508486, 2515579]"
25428,2490061,"[923, 2489348, 2489463, 2490061]"
25429,2490066,[2490066]
25430,2490069,"[2490069, 2494817, 2511075, 2517086]"
25431,2490070,"[2489899, 2490070, 2495443, 2527244]"
25432,2490075,"[2490075, 2495341, 2507889, 2511407]"
25433,2490084,"[2490084, 2510326, 2523273, 2524443]"
25434,2490085,"[70411, 320240, 2490085, 2500083]"
25435,2490088,"[2490088, 2510136, 2513514, 2535440]"
25436,2490090,"[172396, 2490090, 2510121, 2530690]"
