,chembl_id,molregno,chembl-name,smiles
4338,CHEMBL269166,5159,,O=P(O)(O)c1cccc(-c2ccc(CC(Cc3ccc(C(F)(F)P(=O)(O)O)cc3)(c3ccccc3)n3nnc4ccccc43)cc2)c1
4343,CHEMBL274435,5165,,O=P(O)(O)C(F)(F)c1ccc(/C=C/CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccccc2)n2nnc3ccccc32)cc1
4356,CHEMBL8923,5181,,CCCCN(CCCC)C(=O)CN1CC(c2ccc3c(c2)OCO3)C(C(=O)O)C1c1ccc(OC)cc1
4390,CHEMBL9334,5227,,CCCCN(CCC)C(=O)CN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1
4428,CHEMBL9470,5268,SHIKONIN,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O
4442,CHEMBL9011,5284,,COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)c(N)c1
4452,CHEMBL67,5295,COMBRETASTATIN A4,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
4496,CHEMBL9387,5371,L-365260,Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1
4508,CHEMBL276625,5389,PHENSTATIN,COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O
4659,CHEMBL9514,5575,NOCODAZOLE,COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1
4666,CHEMBL472,5582,GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
4696,CHEMBL9225,5622,MESO-HEXESTROL,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
4760,CHEMBL269663,5700,,Cc1cccc2cc3c(O)ncc(C(=O)NCCN(C)C)c3nc12
4767,CHEMBL9699,5709,,CCOC(=O)Nc1cc2c(c(N)n1)N=C(c1ccc(Cl)cc1Cl)CN2
4840,CHEMBL268798,5801,,COc1ccc(-n2cc(C(=O)NCCN(C)C)c3nc4c(C)cccc4cc3c2=O)cc1OC
4856,CHEMBL276820,5818,,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
4991,CHEMBL479,5970,THIORIDAZINE,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
5003,CHEMBL481,5985,IRINOTECAN,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
5008,CHEMBL9902,5990,,Cc1cccc2cc3c(=O)n(CCN(C)CCCN(C)CCn4cc(C(=O)NCCN(C)C)c5nc6c(C)cccc6cc5c4=O)cc(C(=O)NCCN(C)C)c3nc12
5028,CHEMBL483,6012,TENOFOVIR,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O
5098,CHEMBL9859,6088,,COc1ccc(/C=C(\C)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O
5113,CHEMBL9941,6104,,COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O
5221,CHEMBL71,6216,CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
5247,CHEMBL72,6243,DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21
5340,CHEMBL10041,6341,AFIMOXIFENE,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccc(O)cc1
5395,CHEMBL489,6402,AFIMOXIFENE,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
5555,CHEMBL76,6579,CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
5585,CHEMBL9798,6614,,CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
5611,CHEMBL490,6643,PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
5709,CHEMBL10188,6760,TALNETANT,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1
5842,CHEMBL81,6914,RALOXIFENE,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
5862,CHEMBL269671,6936,,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
5893,CHEMBL10121,6972,,COc1ccc(Cc2cc(OC)c(OC)c(OC)c2)cc1O
6241,CHEMBL274070,7343,9-AMINOCAMPTOTHECIN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1
6318,CHEMBL273862,7427,HYDROXYCAMPTOTHECIN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1
6389,CHEMBL84,7501,TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
6592,CHEMBL85,7714,RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
6921,CHEMBL428647,8062,PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
7319,CHEMBL499,8531,TIMOLOL,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
7320,CHEMBL11143,8532,,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS(=O)(=O)c1cccc2ccccc12)NS(C)(=O)=O
7330,CHEMBL500,8543,PINDOLOL,CC(C)NCC(O)COc1cccc2[nH]ccc12
7377,CHEMBL262714,8596,,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS(=O)(=O)c1ccc2ccccc2n1)NS(C)(=O)=O
