compuesto,cell_interact,cell,active
622574,973,797,-1
622574,973,1238,-1
622574,973,651,-1
622574,973,500,-1
622574,973,641,-1
622582,973,623,-1
622582,973,797,-1
622582,973,1238,-1
622582,973,651,-1
622582,973,641,-1
622581,973,623,-1
622581,973,797,-1
622581,973,1238,-1
622581,973,651,-1
622581,973,641,-1
622581,973,302,-1
622580,973,623,-1
622580,973,797,-1
622580,973,1238,-1
622580,973,651,-1
622580,973,641,-1
622579,973,623,-1
622579,973,797,-1
622579,973,1238,-1
622579,973,651,-1
622579,973,641,-1
622578,973,623,-1
622578,973,797,-1
622578,973,1238,-1
622578,973,651,-1
622578,973,641,-1
622577,973,623,-1
622577,973,797,-1
622577,973,1238,-1
622577,973,651,-1
622577,973,641,-1
622576,973,623,-1
622576,973,797,-1
622576,973,1238,-1
622576,973,651,-1
622576,973,641,-1
622575,973,623,-1
622575,973,797,-1
622575,973,1238,-1
622575,973,651,-1
622575,973,641,-1
622573,973,623,-1
622573,973,797,-1
622573,973,1238,-1
622573,973,651,-1
622573,973,641,-1
622572,973,623,-1
622572,973,797,-1
622572,973,1238,-1
622572,973,651,-1
622572,973,641,-1
622571,973,623,-1
622571,973,797,-1
622571,973,1238,-1
622571,973,651,-1
622571,973,641,-1
622569,973,623,-1
622569,973,797,-1
622569,973,1238,-1
622569,973,651,-1
622569,973,641,-1
71378,973,623,-1
71378,973,797,-1
71378,973,1238,-1
71378,973,651,-1
71378,973,641,-1
612191,973,623,-1
612191,973,797,-1
612191,973,1238,-1
612191,973,651,-1
612191,973,641,-1
632163,973,623,-1
632163,973,797,-1
632163,973,1238,-1
632163,973,651,-1
632163,973,641,-1
632164,973,623,-1
632164,973,797,-1
632164,973,1238,-1
632164,973,651,-1
632164,973,641,-1
632165,973,623,-1
632165,973,797,-1
632165,973,1238,-1
632165,973,651,-1
632165,973,641,-1
632166,973,623,-1
632166,973,797,-1
632166,973,1238,-1
632166,973,651,-1
632166,973,641,-1
632167,973,623,-1
632167,973,797,-1
632167,973,1238,-1
632167,973,651,-1
632167,973,641,-1
632168,973,623,-1
632168,973,797,-1
632168,973,1238,-1
632168,973,651,-1
632168,973,641,-1
632169,973,623,-1
632169,973,797,-1
632169,973,1238,-1
632169,973,651,-1
632169,973,641,-1
632170,973,623,-1
632170,973,797,-1
632170,973,1238,-1
632170,973,651,-1
632170,973,641,-1
71232,973,623,-1
71232,973,797,-1
71232,973,1238,-1
71232,973,651,-1
71232,973,302,-1
71232,302,1382,-1
71232,302,1238,-1
71232,302,973,-1
71232,302,1221,-1
71232,302,1223,-1
71232,302,309,-1
71232,302,1394,-1
71232,302,651,-1
126068,973,623,-1
126068,973,797,-1
126068,973,1238,-1
126068,973,651,-1
126068,973,641,-1
126068,973,302,-1
126068,455,1581,-1
126068,455,779,-1
126068,455,651,-1
126068,455,641,-1
126068,455,1501,-1
126068,302,1382,-1
126068,302,1238,-1
126068,302,973,-1
126068,302,1221,-1
126068,302,1223,-1
126068,302,309,-1
126068,302,1394,-1
126068,302,651,-1
683917,973,623,-1
683917,973,797,-1
683917,973,1238,-1
683917,973,651,-1
683917,973,641,-1
683917,973,302,-1
683918,973,623,-1
683918,973,797,-1
683918,973,1238,-1
683918,973,651,-1
683918,973,641,-1
683918,973,302,-1
683919,973,623,-1
683919,973,797,-1
683919,973,1238,-1
683919,973,651,-1
683919,973,641,-1
683919,973,302,-1
683920,973,623,-1
683920,973,797,-1
683920,973,1238,-1
683920,973,651,-1
683920,973,641,-1
683920,973,302,-1
683921,973,623,-1
683921,973,797,-1
683921,973,1238,-1
683921,973,651,-1
683921,973,641,-1
683921,973,302,-1
683922,973,623,-1
683922,973,797,-1
683922,973,1238,-1
683922,973,651,-1
683922,973,641,-1
683922,973,302,-1
171563,993,1393,-1
171563,993,641,-1
171563,993,1220,-1
702977,973,623,-1
702977,973,797,-1
702977,973,1238,-1
702977,973,651,-1
702977,973,641,-1
702974,973,623,-1
702974,973,797,-1
702974,973,1238,-1
702974,973,651,-1
702974,973,641,-1
702978,973,623,-1
702978,973,797,-1
702978,973,1238,-1
702978,973,651,-1
702978,973,641,-1
702979,973,623,-1
702979,973,797,-1
702979,973,1238,-1
702979,973,651,-1
702979,973,641,-1
702981,973,623,-1
702981,973,797,-1
702981,973,1238,-1
702981,973,651,-1
702981,973,641,-1
702980,973,623,-1
702980,973,797,-1
702980,973,1238,-1
702980,973,651,-1
702980,973,641,-1
702982,973,623,-1
702982,973,797,-1
702982,973,1238,-1
702982,973,651,-1
702982,973,641,-1
702983,973,623,-1
702983,973,797,-1
702983,973,1238,-1
702983,973,651,-1
702983,973,641,-1
702984,973,623,-1
702984,973,797,-1
702984,973,1238,-1
702984,973,651,-1
702984,973,641,-1
710736,973,623,-1
710736,973,797,-1
710736,973,1238,-1
710736,973,651,-1
710736,973,641,-1
710789,973,623,-1
710789,973,797,-1
710789,973,1238,-1
710789,973,651,-1
710789,973,641,-1
710846,973,623,-1
710846,973,797,-1
710846,973,1238,-1
710846,973,651,-1
710846,973,641,-1
708749,973,623,-1
708749,973,797,-1
708749,973,1238,-1
708749,973,651,-1
708749,973,641,-1
708754,973,623,-1
708754,973,797,-1
708754,973,1238,-1
708754,973,651,-1
708754,973,641,-1
708757,973,623,-1
708757,973,797,-1
708757,973,1238,-1
708757,973,651,-1
708757,973,641,-1
708760,973,623,-1
708760,973,797,-1
708760,973,1238,-1
708760,973,651,-1
708760,973,641,-1
708768,973,623,-1
708768,973,797,-1
708768,973,1238,-1
708768,973,651,-1
708768,973,641,-1
708769,973,623,-1
708769,973,797,-1
708769,973,1238,-1
708769,973,651,-1
708769,973,641,-1
708770,973,623,-1
708770,973,797,-1
708770,973,1238,-1
708770,973,651,-1
708770,973,641,-1
387585,973,623,-1
387585,973,797,-1
387585,973,1238,-1
387585,973,651,-1
387585,973,641,-1
1053194,973,623,-1
1053194,973,797,-1
1053194,973,1238,-1
1053194,973,651,-1
1053194,973,500,-1
1053194,973,641,-1
1053195,973,623,-1
1053195,973,797,-1
1053195,973,1238,-1
1053195,973,651,-1
1053195,973,500,-1
1053195,973,641,-1
1053196,973,623,-1
1053196,973,797,-1
1053196,973,1238,-1
1053196,973,651,-1
1053196,973,500,-1
1053196,973,641,-1
1053197,973,623,-1
1053197,973,797,-1
1053197,973,1238,-1
1053197,973,651,-1
1053197,973,500,-1
1053197,973,641,-1
1053198,973,623,-1
1053198,973,797,-1
1053198,973,1238,-1
1053198,973,651,-1
1053198,973,500,-1
1053198,973,641,-1
1053199,973,623,-1
1053199,973,797,-1
1053199,973,1238,-1
1053199,973,651,-1
1053199,973,500,-1
1053199,973,641,-1
1053200,973,623,-1
1053200,973,797,-1
1053200,973,1238,-1
1053200,973,651,-1
1053200,973,500,-1
1053200,973,641,-1
1053201,973,623,-1
1053201,973,797,-1
1053201,973,1238,-1
1053201,973,651,-1
1053201,973,500,-1
1053201,973,641,-1
1053202,973,623,-1
1053202,973,797,-1
1053202,973,1238,-1
1053202,973,651,-1
1053202,973,500,-1
1053202,973,641,-1
1053203,973,623,-1
1053203,973,797,-1
1053203,973,1238,-1
1053203,973,651,-1
1053203,973,500,-1
1053203,973,641,-1
270724,1163,495,-1
270724,1163,651,-1
270724,1163,623,-1
270724,1163,1575,-1
270724,1163,1436,-1
270724,1163,797,-1
561598,993,1393,-1
561598,993,651,-1
561598,993,641,-1
561598,993,1220,-1
1272632,993,1393,-1
1272632,993,646,-1
1272632,993,651,-1
1272632,993,786,-1
1272632,993,641,-1
1272632,993,1220,-1
1272633,993,1393,-1
1272633,993,646,-1
1272633,993,651,-1
1272633,993,786,-1
1272633,993,641,-1
1272633,993,1220,-1
1272634,993,1393,-1
1272634,993,646,-1
1272634,993,651,-1
1272634,993,786,-1
1272634,993,641,-1
1272634,993,1220,-1
1272635,993,1393,-1
1272635,993,646,-1
1272635,993,651,-1
1272635,993,786,-1
1272635,993,641,-1
1272635,993,1220,-1
1272636,993,1393,-1
1272636,993,646,-1
1272636,993,651,-1
1272636,993,786,-1
1272636,993,641,-1
1272636,993,1220,-1
1272637,993,1393,-1
1272637,993,646,-1
1272637,993,651,-1
1272637,993,786,-1
1272637,993,641,-1
1272637,993,1220,-1
1272638,993,1393,-1
1272638,993,646,-1
1272638,993,651,-1
1272638,993,786,-1
1272638,993,641,-1
1272638,993,1220,-1
1272639,993,1393,-1
1272639,993,646,-1
1272639,993,651,-1
1272639,993,786,-1
1272639,993,641,-1
1272639,993,1220,-1
1272640,993,1393,-1
1272640,993,646,-1
1272640,993,651,-1
1272640,993,786,-1
1272640,993,641,-1
1272640,993,1220,-1
1272641,993,1393,-1
1272641,993,646,-1
1272641,993,651,-1
1272641,993,786,-1
1272641,993,641,-1
1272641,993,1220,-1
1272642,993,1393,-1
1272642,993,646,-1
1272642,993,651,-1
1272642,993,786,-1
1272642,993,641,-1
1272642,993,1220,-1
1272643,993,1393,-1
1272643,993,646,-1
1272643,993,651,-1
1272643,993,786,-1
1272643,993,641,-1
1272643,993,1220,-1
568342,993,791,-1
568342,993,1393,-1
568342,993,651,-1
568342,993,641,-1
568342,993,1220,-1
1344784,973,623,-1
1344784,973,797,-1
1344784,973,1238,-1
1344784,973,651,-1
1344784,973,641,-1
1344785,973,623,-1
1344785,973,797,-1
1344785,973,1238,-1
1344785,973,651,-1
1344785,973,641,-1
1344786,973,623,-1
1344786,973,797,-1
1344786,973,1238,-1
1344786,973,651,-1
1344786,973,641,-1
1344787,973,623,-1
1344787,973,797,-1
1344787,973,1238,-1
1344787,973,651,-1
1344787,973,641,-1
1344788,973,623,-1
1344788,973,797,-1
1344788,973,1238,-1
1344788,973,651,-1
1344788,973,641,-1
1344789,973,623,-1
1344789,973,797,-1
1344789,973,1238,-1
1344789,973,651,-1
1344789,973,641,-1
1344790,973,623,-1
1344790,973,797,-1
1344790,973,1238,-1
1344790,973,651,-1
1344790,973,641,-1
1344791,973,623,-1
1344791,973,797,-1
1344791,973,1238,-1
1344791,973,651,-1
1344791,973,641,-1
1344794,973,623,-1
1344794,973,797,-1
1344794,973,1238,-1
1344794,973,651,-1
1344794,973,641,-1
433092,636,1573,-1
433092,636,1441,-1
433092,636,1503,-1
433092,636,651,-1
433092,636,1444,-1
6968,973,623,-1
6968,973,797,-1
6968,973,1238,-1
6968,973,651,-1
6968,973,641,-1
137532,973,623,-1
137532,973,797,-1
137532,973,1238,-1
137532,973,500,-1
137532,973,641,-1
137532,973,302,-1
62979,973,623,-1
62979,973,797,-1
62979,973,1238,-1
62979,973,651,-1
62979,973,500,-1
62979,973,302,-1
182313,973,623,-1
182313,973,797,-1
182313,973,1238,-1
182313,973,651,-1
182313,973,500,-1
182313,973,302,-1
5105,842,405,-1
477093,973,623,-1
477093,973,797,-1
477093,973,1238,-1
477093,973,651,-1
477093,973,641,-1
477093,973,302,-1
597960,973,623,-1
597960,973,797,-1
597960,973,1238,-1
597960,973,651,-1
597960,973,641,-1
597960,973,302,-1
1422401,973,623,-1
1422401,973,797,-1
1422401,973,1238,-1
1422401,973,651,-1
1422401,973,641,-1
1422401,973,302,-1
1422402,973,623,-1
1422402,973,797,-1
1422402,973,1238,-1
1422402,973,651,-1
1422402,973,641,-1
1422402,973,302,-1
1422403,973,623,-1
1422403,973,797,-1
1422403,973,1238,-1
1422403,973,651,-1
1422403,973,641,-1
1422403,973,302,-1
1578817,993,791,-1
1578817,993,1393,-1
1578817,993,651,-1
1578817,993,786,-1
1578817,993,641,-1
1578817,993,1220,-1
1578816,993,791,-1
1578816,993,1393,-1
1578816,993,651,-1
1578816,993,786,-1
1578816,993,641,-1
1578816,993,1220,-1
1578815,993,791,-1
1578815,993,1393,-1
1578815,993,651,-1
1578815,993,786,-1
1578815,993,641,-1
1578815,993,1220,-1
1578814,993,791,-1
1578814,993,1393,-1
1578814,993,651,-1
1578814,993,786,-1
1578814,993,641,-1
1578814,993,1220,-1
1578813,993,791,-1
1578813,993,1393,-1
1578813,993,651,-1
1578813,993,786,-1
1578813,993,641,-1
1578813,993,1220,-1
1578812,993,791,-1
1578812,993,1393,-1
1578812,993,651,-1
1578812,993,786,-1
1578812,993,641,-1
1578812,993,1220,-1
1578811,993,791,-1
1578811,993,1393,-1
1578811,993,651,-1
1578811,993,786,-1
1578811,993,641,-1
1578811,993,1220,-1
1578810,993,791,-1
1578810,993,1393,-1
1578810,993,651,-1
1578810,993,786,-1
1578810,993,641,-1
1578810,993,1220,-1
11026,993,791,-1
11026,993,1393,-1
11026,993,651,-1
11026,993,786,-1
11026,993,641,-1
11026,993,1220,-1
172779,993,1393,-1
172779,993,651,-1
172779,993,1220,-1
1788177,993,791,-1
1788177,993,1393,-1
1788177,993,651,-1
1788177,993,786,-1
1788177,993,641,-1
1788177,993,1220,-1
853,377,1506,-1
853,377,633,-1
853,377,651,-1
853,377,405,-1
2068507,993,791,-1
2068507,993,1393,-1
2068507,993,726,-1
2068507,993,651,-1
2068507,993,1220,-1
52812,791,993,-1
52812,791,1393,-1
52812,791,1501,-1
52812,791,641,-1
52812,791,651,-1
475589,1154,1581,-1
475589,1154,1215,-1
475589,1154,633,-1
475589,1154,405,-1
475589,1154,646,-1
475589,1019,460,-1
475589,1019,1424,-1
475589,1261,564,-1
475589,1261,1573,-1
475589,1261,1501,-1
645012,993,1393,-1
645012,993,651,-1
645012,993,786,-1
645012,993,641,-1
645012,993,1220,-1
2245418,391,448,-1
2245418,391,1208,-1
2245418,391,405,-1
2245418,391,633,-1
2210554,391,448,-1
2210554,391,1208,-1
2210554,391,405,-1
2210554,391,633,-1
2237686,391,448,-1
2237686,391,1208,-1
2237686,391,405,-1
2237686,391,633,-1
2218714,391,448,-1
2218714,391,1208,-1
2218714,391,405,-1
2218714,391,633,-1
2229033,391,448,-1
2229033,391,1208,-1
2229033,391,405,-1
2229033,391,633,-1
2207830,391,448,-1
2207830,391,1208,-1
2207830,391,405,-1
2207830,391,633,-1
2234306,391,448,-1
2234306,391,1208,-1
2234306,391,405,-1
2234306,391,633,-1
2208561,391,624,-1
2208561,391,448,-1
2208561,391,1208,-1
2208561,391,405,-1
2208561,391,633,-1
2229678,391,448,-1
2229678,391,1208,-1
2229678,391,405,-1
2229678,391,633,-1
2234994,993,791,-1
2234994,993,1393,-1
2234994,993,651,-1
2234994,993,786,-1
2234994,993,641,-1
2234994,993,1220,-1
2240638,993,791,-1
2240638,993,1393,-1
2240638,993,651,-1
2240638,993,786,-1
2240638,993,641,-1
2240638,993,1220,-1
2225205,391,498,-1
2225205,391,448,-1
2225205,391,1208,-1
2225205,391,405,-1
2225205,391,633,-1
415839,993,1393,-1
415839,993,651,-1
415839,993,1220,-1
1820935,993,1393,1
1820935,993,651,1
1820935,993,786,1
1820935,993,1220,1
1820935,391,498,1
1820935,391,626,1
1820935,391,624,1
1820935,391,448,1
1820935,391,1208,1
1820935,391,405,1
1820935,391,786,1
1820935,391,633,1
5575,630,784,-1
5575,630,1228,-1
5575,630,1379,-1
5575,630,1225,-1
5575,630,1621,-1
5575,779,1501,-1
102920,726,1220,-1
102920,726,697,-1
102920,726,1501,-1
102920,726,1436,-1
58424,726,1220,-1
58424,726,786,-1
58424,726,1501,-1
58424,726,1436,-1
58424,791,993,-1
58424,791,726,-1
