cell_id,cell_top10,value_top10
791,"[993, 726, 1393, 646, 786, 1501, 641, 651]","[0.89211801704689, 0.8716972056577733, 0.8622929463223654, 0.853020952337431, 0.8439538161935628, 0.8398141753132902, 0.8397661557773766, 0.8389422803065039]"
993,"[791, 1393, 726, 646, 651, 786, 641, 1220]","[0.89211801704689, 0.8555543453687005, 0.8552348925596933, 0.8343633254646696, 0.8250772960989773, 0.8250327534456183, 0.8237808741319973, 0.8229819467732188]"
1215,"[633, 405, 797, 623, 646, 641, 165, 1352, 651, 1349]","[0.9115657848425516, 0.9065238916025766, 0.9052370025456796, 0.9008312778863165, 0.8963392024254261, 0.8941670850149429, 0.8906203220464981, 0.8901646037388514, 0.8901232067024418, 0.8900361933045343]"
788,[1434],[0.8116510865908534]
170,[],[]
1347,"[1216, 725, 1207, 304, 1232, 1231, 1663, 1508, 1385]","[0.9260471459906542, 0.9181431170346795, 0.8980136196574204, 0.8947924212661232, 0.8811165370852289, 0.8690711481347058, 0.8675516898781678, 0.8669054744325736, 0.8662026451055442]"
1216,"[1347, 725, 1508, 1232, 1207, 1231, 304, 1663, 1466]","[0.9260471459906542, 0.8835898227533727, 0.8758550962313201, 0.8695015609180915, 0.8687923842363164, 0.8639707330498522, 0.8618013508785435, 0.8615023074442227, 0.8602149553841394]"
860,"[1019, 460, 784, 478, 1213, 646, 641]","[0.8702164920688921, 0.845221662581421, 0.8326225655763341, 0.8220660216646545, 0.8211933322141595, 0.8161482206935848, 0.8137024040067308]"
628,"[456, 300, 988, 646, 786, 641, 1436, 651, 565]","[0.9127954943326512, 0.8544911962309873, 0.8434394379572926, 0.8426715411689991, 0.8412273120926117, 0.8364617554543577, 0.8354659638876276, 0.8340308039584441, 0.8328560283311356]"
629,"[651, 1501, 646, 786, 641, 1352, 500]","[0.8752024049916645, 0.8670778273219161, 0.866879605314707, 0.8576395365026458, 0.856565237672496, 0.856444750270333, 0.8552431971391399]"
1380,"[1383, 1209, 1231, 1232, 1235, 1663, 1346, 1523, 1387, 714]","[0.9154840900674796, 0.8722661897357489, 0.8701951261132561, 0.8671805993586239, 0.8632033984375437, 0.8609354673942591, 0.8577829692086036, 0.8572696627681887, 0.8570925697698107, 0.856303293676928]"
1217,"[1238, 1394, 1232, 309, 1382, 1221, 1240, 1354, 714, 1215]","[0.8867646489314964, 0.8839477045209003, 0.8830013004608932, 0.8777256244792528, 0.8769695125252182, 0.8723142373103554, 0.8715844454926194, 0.8702736769145063, 0.8695128395066793, 0.8693833488956487]"
412,"[1511, 1504, 564, 346, 991, 1573, 651, 1577]","[0.9218481360257554, 0.9004991909874205, 0.899392037177176, 0.8764646204434343, 0.8698977542580788, 0.8543299535365005, 0.8534290447077233, 0.8527236289421602]"
1504,"[1511, 346, 412, 564, 1577, 1445]","[0.9213246436456856, 0.9126512058938075, 0.9004991909874205, 0.88121752011748, 0.8775538257942389, 0.8713368582667738]"
1505,"[1577, 346, 1504, 1445, 1508, 1470, 1471, 1511]","[0.8691877262130829, 0.8667147653244472, 0.860439375868856, 0.8472443827584144, 0.8457757765463558, 0.844662641545784, 0.8440046125382654, 0.8437646643650675]"
1506,"[408, 377, 651, 633, 646, 1393, 786, 641, 1501]","[0.9132427404528838, 0.8976510508479817, 0.8400909591611156, 0.8385187029432307, 0.8379939416348976, 0.8365044815146976, 0.8352257491880389, 0.8352056655068086, 0.8337485645094336]"
171,"[651, 623, 1501, 646, 173, 1434, 786, 1220, 641]","[0.8353430187104629, 0.8267679467951395, 0.8254439969085668, 0.8246243333946179, 0.8180552010771547, 0.8174609298888754, 0.8167671477506828, 0.8162254403694245, 0.8148907030583997]"
784,"[669, 630, 789, 1228, 1225, 1379, 137, 641, 1621]","[0.9456303400094076, 0.9389621911216186, 0.9294360489696754, 0.922022640890789, 0.905396089877659, 0.8996187114168115, 0.8977899808390601, 0.8925367634318816, 0.8919485353482518]"
630,"[784, 669, 789, 1228, 1379, 1225, 1621, 641]","[0.9389621911216186, 0.9347449763409972, 0.9320918933810638, 0.9078623933699308, 0.9047616573367208, 0.902718768334294, 0.8842258956967343, 0.8820922098568698]"
789,"[669, 630, 784, 1225, 1228, 1379, 1621, 690]","[0.9571275339370736, 0.9320918933810638, 0.9294360489696754, 0.9278492190107126, 0.9259852976925378, 0.9192051468961656, 0.910477864638207, 0.8955879363208533]"
1572,"[1471, 796, 1441, 1443, 1444, 1470, 564, 649, 623]","[0.9094829710482378, 0.8824692983481986, 0.8742773365452504, 0.8659298778493344, 0.8609708269478095, 0.8587376303425986, 0.8566945101200477, 0.8563367185466918, 0.8555028223670275]"
631,"[365, 634, 1229, 372, 706, 373, 641, 45, 646]","[0.9667654708873707, 0.9473647061611934, 0.9430941819112992, 0.9161115051587556, 0.9056714916355442, 0.8943182752559256, 0.8684428439148408, 0.8679710075604435, 0.8666998168879111]"
1574,"[1381, 1262, 1218, 651, 633, 646, 405, 1238, 500]","[0.931957528961221, 0.8888644479214732, 0.8667203404249639, 0.8529941002371854, 0.8506743757159987, 0.8504620137046457, 0.8499818736659199, 0.8496037929087268, 0.8490933343715237]"
1218,"[1574, 1262, 1381, 797, 1238, 623, 405, 1228, 633]","[0.8667203404249639, 0.865693429692845, 0.8628346148074112, 0.8619518246961287, 0.8571357866885645, 0.8566898039023332, 0.8514549831007087, 0.8504231096534339, 0.8502484457014468]"
1103,[1384],[0.8163113091521872]
1575,"[495, 641, 565, 1163, 1501, 786, 633, 651, 173, 623]","[0.9262995836030844, 0.8957576364137371, 0.8930812781915208, 0.8928806590359961, 0.8928448591933151, 0.892291846026395, 0.8906007421461456, 0.8904720841224039, 0.8888556835712583, 0.8865751248168241]"
376,[1501],[0.8052766086379863]
1219,"[1663, 1581, 1232, 1385, 1621, 1234, 1212, 1386, 633, 1508]","[0.9123340330774956, 0.9038206488981833, 0.8981782409250046, 0.8897290013539884, 0.886909579258575, 0.8837156911724007, 0.8824494316883801, 0.881239423921383, 0.880403014708198, 0.8783920990879711]"
294,"[651, 1501, 1434, 1352, 1611, 646, 1220, 500, 641, 786]","[0.8492294903296252, 0.8426725813394934, 0.8390042581146855, 0.8381935224339094, 0.8368215825307804, 0.8301378976677998, 0.8277230687994194, 0.8271461070875331, 0.8267620832309321, 0.8258090239661349]"
673,"[622, 646, 1501, 786, 1436, 651, 726, 641]","[0.8838341099732979, 0.8789165632746143, 0.8781515608174527, 0.8674401371134367, 0.8652537247118849, 0.8649834715360187, 0.8621883710054775, 0.8576011318466263]"
632,"[718, 623, 564, 1573, 651, 1511, 646, 1443]","[0.9158251000593932, 0.8335332937169547, 0.8331018597808515, 0.8311175606475896, 0.8261959597538768, 0.8252154846589587, 0.824680301367859, 0.8222286527119206]"
1381,"[1574, 1262, 1218, 1238, 633, 405, 797, 623, 1213]","[0.931957528961221, 0.8660643338587262, 0.8628346148074112, 0.8344636170675362, 0.830591549504122, 0.8288915848464535, 0.8288905639219375, 0.8280014619296826, 0.8273736525517702]"
346,"[1504, 1511, 1577, 1445, 1468, 564, 412]","[0.9126512058938075, 0.9098169070197948, 0.9076981388662227, 0.902993567891468, 0.8976496292713249, 0.881979258264201, 0.8764646204434343]"
1221,"[1394, 1354, 309, 1382, 1240, 302, 1238, 500, 973, 646]","[0.9360450091732038, 0.9327964402586252, 0.926202432435065, 0.9157371631551876, 0.8925182250263596, 0.8918428803952079, 0.8886720033816542, 0.8827162169669434, 0.8782658735256117, 0.8759467341615833]"
495,"[1575, 786, 565, 641, 562, 1163, 1436, 646, 642]","[0.9262995836030844, 0.9152811027317734, 0.9138118322127988, 0.9125432241196538, 0.900888955848489, 0.9002213031106338, 0.8998756395797745, 0.897907452628173, 0.8977519252386496]"
498,"[626, 624, 448, 391, 1208, 641, 405, 646, 633, 651]","[0.9622808196735402, 0.9610787410794184, 0.9543869888411914, 0.94470839815167, 0.9239332526867288, 0.8903149669390676, 0.8871198077405797, 0.8864519506154384, 0.8853359273289522, 0.8841459012776666]"
448,"[498, 624, 626, 1208, 391, 405, 633, 645, 623, 797]","[0.9543869888411914, 0.943814054740918, 0.936902680702643, 0.9303046428963888, 0.9282745468917936, 0.8856553746344903, 0.8822525216329964, 0.8819981769866881, 0.8817819912876629, 0.8807618779219697]"
1382,"[302, 309, 1221, 1394, 1354, 1238, 500, 1240, 973, 646]","[0.9279809073765504, 0.920989613723443, 0.9157371631551876, 0.9122496242586146, 0.9077279234743424, 0.9034919192189952, 0.8871556832344072, 0.8827721016035188, 0.8799679206788417, 0.8777974261077394]"
1223,"[1238, 302, 1382, 1217, 623, 633, 165, 1212, 500, 1232]","[0.8927891421277981, 0.8858485504544586, 0.8720619227952423, 0.8672851920014192, 0.8582759902774374, 0.8582035436757902, 0.8545594649845999, 0.8541623918533732, 0.8536231317497456, 0.8533730299800235]"
1225,"[1228, 789, 1621, 1379, 669, 784, 630, 1351, 690]","[0.9294299368918542, 0.9278492190107126, 0.9208252060437796, 0.918012505545109, 0.91565488387808, 0.905396089877659, 0.902718768334294, 0.9021762987830526, 0.8860604155466644]"
1383,"[1380, 1346, 1209, 1214, 1246, 1232, 714, 1219, 633]","[0.9154840900674796, 0.9124570886848672, 0.9085179859770418, 0.8854289100858577, 0.8802301631698112, 0.8606046934420576, 0.8532600965739631, 0.8525785545691834, 0.8525144312767933]"
1227,"[1475, 714, 623, 1232, 1471, 797, 633, 796, 1244, 1477]","[0.8211051122949748, 0.8210911156135896, 0.8209543398648435, 0.8206325665477281, 0.819635466085928, 0.8179667573718827, 0.817454259916939, 0.8169969270424504, 0.8169718770844461, 0.8169071665092932]"
405,"[633, 797, 646, 623, 1215, 1212, 641, 173, 165, 651]","[0.9487457454685452, 0.930458468165678, 0.9203673597729212, 0.9086241262938896, 0.9065238916025766, 0.9036738958243908, 0.9027611004509548, 0.9008214811974355, 0.9003311519806798, 0.899796323278369]"
173,"[646, 405, 1501, 633, 651, 495, 797, 1575]","[0.9012352378900716, 0.9008214811974355, 0.9008113901233856, 0.9005214860338744, 0.8919160314104506, 0.8896327697253072, 0.889627989822286, 0.8888556835712583]"
633,"[405, 797, 646, 1215, 623, 1212, 165, 641, 651, 173]","[0.9487457454685452, 0.9336423590216536, 0.918565119177048, 0.9115657848425516, 0.9113887979481992, 0.9096040704562424, 0.9057887184365728, 0.9048385436623084, 0.9023838596619758, 0.9005214860338744]"
1228,"[1225, 789, 784, 669, 1621, 1379, 630, 137, 405]","[0.9294299368918542, 0.9259852976925378, 0.922022640890789, 0.9203381238228396, 0.9198740548875712, 0.916105065127253, 0.9078623933699308, 0.9031185593044434, 0.8987771053332562]"
1019,"[460, 478, 1424, 1213, 641]","[0.9411201302787798, 0.9125675263659602, 0.8768360572886806, 0.8754627882143361, 0.8749117854553848]"
1576,"[1424, 478, 1243, 1232, 1507, 714, 1351, 1476]","[0.8868870136685919, 0.8801474458083328, 0.878143845551011, 0.8760424547426553, 0.875629505476859, 0.8743882604027318, 0.8723045046111974, 0.8706169157483185]"
634,"[1229, 365, 631, 372, 373, 706, 45, 641, 405]","[0.9562452077069796, 0.9559719337926388, 0.9473647061611934, 0.9175988388254728, 0.907557019618519, 0.906647793895058, 0.8791781654918993, 0.8767394051519932, 0.8757692311014748]"
1229,"[365, 634, 631, 373, 372, 706, 45, 633, 405]","[0.9595255509378716, 0.9562452077069796, 0.9430941819112992, 0.9251269748858576, 0.9214133201442272, 0.9052396957344516, 0.8844745553084145, 0.8695396866601949, 0.868872865441454]"
1384,"[1386, 690, 642, 565, 641, 1466, 633]","[0.8850664131916739, 0.8835811732185538, 0.8792199480121816, 0.8765440055780079, 0.87379889584346, 0.8701482499400163, 0.8690952575254416]"
1507,"[1387, 1508, 1476, 714, 1576, 1231, 1523, 1477, 1232]","[0.8867539045703791, 0.8797066808800985, 0.8787968401639193, 0.8776823843707858, 0.875629505476859, 0.8744466072902903, 0.8741547084556278, 0.8727546580487122, 0.8725082174175317]"
295,"[646, 633, 797, 786, 405, 641, 623]","[0.8353983508768366, 0.8158736337729897, 0.8158712278484073, 0.8065015354846878, 0.8061110631052202, 0.8055463128976234, 0.8029995750941342]"
1349,"[714, 778, 622, 1475, 623, 1215, 1232, 633, 797]","[0.9073073167377634, 0.8969098745061478, 0.8954486654714883, 0.8929474837789355, 0.8927277037509577, 0.8900361933045343, 0.888362405111472, 0.8878684342261782, 0.8851162007665794]"
