comp_id,top3,id_29,pref_name,smiles
13765,[],585894,,CCN1C=CC(=Cc2ccc3cc(C)ccc3[n+]2C)C=C1
13856,[],587067,,CN(C)c1cc[n+](Cc2ccccc2)cc1
13869,"[4822, 6066, 12333]",587304,,CCN(CC)CCCC(C)Nc1ccnc2cc3ccccc3cc12
13920,[],587948,,CN(C)c1cc[n+](Cc2c(Cl)cccc2Cl)cc1
13961,"[16776, 13655, 12279]",588525,,COc1cc2nc(Nc3cccc(F)c3)nc(N)c2cc1OC
14029,"[14029, 14030, 14031]",592687,,CCCCCCCCCCCC[n+]1ccn(C)c1
14031,"[14029, 14030, 14031]",592761,,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1
14196,[],135391,CAMOSTAT,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1
14204,"[14210, 14213, 4750]",598578,CYCLOPENTYL PALMITATE,CCCCCCCCCCCCCCCC(=O)OC1CCCC1
15092,"[30797, 15093, 2496]",641888,,NC(CCC(=O)NC(CSC(=O)N(O)c1ccc(Br)cc1)C(=O)NCC(=O)O)C(=O)O
15245,[],646991,,CCCCCCCCCCCCCCCCOC(=O)C[n+]1csc(CCO)c1C
15445,[],320522,CHLOROGUANIDE HYDROCHLORIDE,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1
15454,"[964, 728, 3081]",675333,WR-1065,NCCCNCCS
15529,"[37870, 5709, 15540]",677663,,CCN(CC)CCNC(=O)c1cccc2cc3ccccc3nc12
15532,"[31905, 5732, 4923]",677671,,COc1ccc(C(=O)NCCN(C)C)c2nc3ccccc3cc12
15637,"[37269, 15636, 15661]",686684,ONALESPIB,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O
16780,[],740849,ETHAVERINE HYDROCHLORIDE,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC
18582,"[36373, 13490, 26889]",798929,,CCCCCCCCCCCCCCCC[N+](C)(C)CC
18769,"[9841, 21949, 17832]",804419,,COc1ccc2nc(NC(=O)c3ccc(F)cc3)sc2c1
24086,"[35694, 5629, 8135]",975608,ACADESINE,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N
25584,"[11190, 20070, 20297]",1026885,,COc1ccc(CCNc2ncnc3sc(C)cc23)cc1OC
26053,"[3918, 24308, 27115]",1056084,,COc1cc2ncnc(NCc3ccccn3)c2cc1OC
32052,[],1307219,METHOXYPHENAMINE HYDROCHLORIDE,CNC(C)Cc1ccccc1OC
32731,"[31126, 20259, 32427]",1316233,,Oc1ccc[n+](Cc2ccccc2)c1
32744,"[31784, 8571, 8570]",1316416,,CCN(CC)CCNc1n[n+]([O-])c2ccccc2[n+]1[O-]
32964,"[17156, 33084, 32078]",1319198,,CN(C)CC1CCCCCCCCCCC1=O
33137,"[35981, 35982, 35980]",1321277,,CCCSCC(P(=O)(O)O)P(=O)(O)O
34168,[],1347739,,C1CCC2(CC1)CCNCC2
34876,[],1378480,DETOMIDINE HYDROCHLORIDE,Cc1cccc(Cc2c[nH]cn2)c1C
34880,[],1379957,VALETHAMATE BROMIDE,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1
36200,"[36200, 38154, 46308]",1526411,,OC[C@H]1O[C@@H](OCc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
37220,"[37219, 37220, 37221]",1588069,,CCCCCCCCc1ccc(CO[C@@H]2CN[C@@H](CO)C2)cc1
37221,"[37219, 37220, 37221]",1588070,,CCCCCCCCc1ccc(CO[C@H]2CN[C@H](CO)C2)cc1
37301,"[37301, 31347, 47644]",1592405,GENTAMICIN SULFATE,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1
37438,[],1608351,,CCCCCCC[N+](CC)(CC)CC#Cc1ccc(Cl)cc1
37522,"[37521, 37523, 37524]",1613601,,Nc1ccc(NC(=O)c2sc3ccccc3c2Cl)cc1
37774,"[5337, 5759, 38887]",111342,,NCc1nc2ccccc2[nH]1
37796,"[20825, 37797, 38355]",1672699,,CCCCn1cc[n+](C)c1
37797,"[37797, 38355, 37796]",1672762,,CCCCCCn1cc[n+](C)c1
38153,[],1734979,,CC(N)C1CC2CCC1C2
38360,"[38361, 2954, 2982]",1745509,,NCCCNCCCNC1CCCCCCCCCCCCCC1
38886,[],1786544,,CS(=O)(=O)N[C@@H](c1ccc(CNC[C@H]2COc3cccnc3O2)cc1)C(F)(F)F
39403,"[3001, 3002, 3000]",141871,,CCc1cc2c3[nH]c4c(N)cccc4c3cc[n+]2nc1CC
46946,"[46954, 46962, 15475]",2055476,,CC1CCCN(CCCCCOc2ccc(Cl)cc2)C1
46961,"[46948, 46953, 46956]",2055491,,Clc1ccc(OCCCCCCCN2CCCCC2)cc1
