,compound_id,cell_id,active
38689,73205,635,-1
38690,73204,635,-1
38691,94179,635,-1
38692,73809,635,-1
38693,73810,635,-1
38694,94338,635,-1
38696,73647,635,-1
39177,241658,643,-1
39178,242045,643,-1
39179,241269,643,-1
39223,51683,643,-1
39224,51009,643,-1
39225,51712,643,-1
39226,51805,643,-1
39227,51919,643,-1
39767,36769,635,-1
39768,36532,635,-1
39769,36533,635,-1
39847,60208,635,-1
39849,60207,635,-1
39930,1631705,43,-1
39937,1799020,43,-1
40074,282196,959,-1
40075,282229,959,-1
40076,282195,959,-1
40077,282719,959,-1
40078,282216,959,-1
40079,282789,959,-1
40080,282251,959,-1
40081,282782,959,-1
40806,195641,635,-1
40807,194476,635,-1
40893,25504,635,-1
40894,25323,635,-1
40895,25503,635,-1
40896,25355,635,-1
40897,25505,635,-1
40898,25354,635,-1
40899,25392,635,-1
40900,25421,635,-1
40901,25085,635,-1
41059,179813,635,-1
41060,179947,635,-1
41061,179814,635,-1
41062,180108,635,-1
41136,3207,407,-1
41137,3367,407,-1
41138,3044,407,-1
41139,3326,407,-1
41140,3395,407,-1
41141,3451,407,-1
41142,3420,407,-1
41571,1627569,635,-1
41594,196358,635,-1
41595,196390,635,-1
41596,197224,635,-1
41597,196389,635,-1
41598,196674,635,-1
41599,196222,635,-1
41600,196112,635,-1
41601,196357,635,-1
41602,196515,635,-1
41603,196021,635,-1
41604,197188,635,-1
41605,196514,635,-1
41606,195995,635,-1
41607,196512,635,-1
41608,196055,635,-1
41609,196056,635,-1
41610,196479,635,-1
41971,150985,407,-1
41972,151077,407,-1
41973,151036,407,-1
43523,92484,610,-1
44743,553773,786,-1
44744,59967,786,-1
44745,59647,786,-1
44942,198477,449,-1
46231,180893,5561,-1
46232,180894,5561,-1
46300,219176,5561,-1
46301,219178,5561,-1
46348,155065,1,-1
46349,155121,1,-1
46742,178725,1,-1
47063,48403,565,-1
47064,49222,565,-1
47065,49249,565,-1
47066,48278,565,-1
47067,49839,565,-1
47068,49057,565,-1
47069,48318,565,-1
47070,49094,565,-1
