cell_id,id_compuestos_actividad,activity
58,"[717, 2208, 5105, 5268, 5295, 8062, 8633, 11305, 11501, 13590, 36237, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 82983, 85922, 88232, 119498, 151991, 152995, 160849, 161022, 183934, 291635, 319858, 360439, 368538, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1344285, 1344392, 1344392, 1348359, 1379628, 1540172, 1797953, 1841532, 1927101, 2068574, 2200045, 2469552, 2481302]","[-1, -1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1]"
60,[374019],[1]
61,"[2580, 4504, 68607]","[-1, 1, -1]"
63,"[25906, 373381, 373381]","[-1, 1, -1]"
64,"[2658, 39672, 118583, 198067, 198357]","[-1, -1, -1, -1, -1]"
66,"[717, 2208, 5105, 5268, 6579, 8633, 11305, 13590, 14805, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 113614, 119498, 151991, 152995, 183934, 291635, 319858, 336913, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 596528, 597145, 598734, 598961, 598961, 599099, 599099, 608601, 619010, 622966, 622968, 622970, 622971, 622972, 623658, 624465, 624466, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1166678, 1166679, 1166680, 1166681, 1166682, 1166683, 1166684, 1166685, 1166686, 1166687, 1166688, 1166689, 1166690, 1166691, 1166692, 1220034, 1294151, 1345338, 1348359, 1379628, 1424536, 1540172, 1797953, 1927101, 2154038, 2174752, 2182594]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, -1, -1, 1, -1, -1, 1, 1, 1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, -1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1]"
69,"[68607, 1704201, 1704202]","[-1, -1, -1]"
70,"[160849, 161022]","[-1, -1]"
73,"[717, 2208, 5105, 5268, 8062, 8633, 11305, 13590, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 520053, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1836858, 1927101]","[-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1]"
74,"[202260, 202595, 203042]","[1, 1, 1]"
75,"[717, 2208, 5105, 5268, 5295, 8633, 11305, 13590, 29831, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1178704, 1193367, 1220034, 1294151, 1348359, 1379628, 1540172, 1573837, 1573838, 1573843, 1622615, 1797457, 1797457, 1797953, 1927101, 2231539, 2329819, 2382249]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, 1, -1, -1, 1]"
76,[2021521],[1]
77,"[19101, 35874, 49931, 63535, 64671, 374019]","[1, 1, 1, -1, 1, 1]"
81,"[4843, 4843, 5043, 5049, 5049, 5089, 5095, 5098, 5098, 5143, 5143, 5181, 5227, 213326, 213328, 213354, 292863, 292863, 293300, 293300, 294055, 294055]","[1, -1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 1]"
90,"[6968, 1408997]","[-1, 1]"
95,"[717, 923, 2080, 5268, 8062, 13048, 13590, 14785, 14805, 36237, 56713, 68607, 75901, 78520, 78759, 88797, 99755, 119498, 151991, 152995, 187372, 276734, 334313, 350698, 356576, 361444, 361469, 365408, 419032, 427010, 436277, 446780, 447415, 447450, 475734, 479169, 489525, 490644, 560078, 570962, 571772, 602271, 608601, 623658, 630975, 649637, 705446, 1379628, 1416020, 1540172]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
96,"[160849, 161022]","[-1, -1]"
97,"[717, 923, 2208, 5105, 5105, 5268, 5295, 8062, 8633, 11305, 11501, 13590, 14440, 14785, 14805, 18841, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 99755, 113614, 119498, 151991, 152995, 172779, 183934, 183934, 187372, 201200, 291635, 319858, 360439, 419032, 426660, 427010, 430664, 433672, 436277, 446780, 447450, 453228, 455596, 460092, 462435, 465352, 469866, 470511, 475734, 479169, 489525, 494280, 499179, 508147, 511600, 511658, 557072, 560078, 565901, 568338, 570962, 571772, 597145, 602271, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 698457, 716337, 1037712, 1162276, 1220034, 1294151, 1335704, 1345338, 1348359, 1379628, 1444117, 1523201, 1523202, 1540172, 1607512, 1607513, 1735707, 1763572, 1797953, 1927101, 2092127, 2154038, 2174752, 2182594, 2321925, 2332530, 2355503]","[-1, -1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, -1]"
98,"[78759, 88797, 426660, 430664, 2343831, 2355259, 2359364, 2362905, 2369295, 2377606, 2384069, 2384626, 2391093, 2391516, 2412629, 2422689, 2443073, 2453142]","[-1, -1, -1, -1, -1, -1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1, 1, -1]"
101,"[78759, 522730, 1331852]","[-1, -1, -1]"
103,[18696],[-1]
104,"[16547, 16634]","[1, 1]"
105,"[8062, 8633]","[-1, -1]"
106,"[4496, 5295, 8062, 14440, 50068, 50077, 50078, 50122, 50153, 50189, 50219, 50254, 50256, 50593, 50595, 50640, 50908, 50909, 50944, 51018, 78759, 132751, 316297, 316637, 318390, 507066, 512454, 513658]","[-1, 1, -1, -1, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1, 1]"
110,"[8633, 13590, 78759, 222232, 245881, 245881, 460499, 460499, 460500, 460500, 460501, 460501, 460502, 460502, 460503, 460503, 460504, 460504, 460505, 460505, 460506, 460506, 460507, 460507, 460508, 460508, 460509, 460509, 460515, 460515, 460516, 460516, 460517, 460517, 460518, 460518, 460519, 460519, 460520, 460520, 460521, 460521, 460522, 460522, 460523, 460523, 460524, 460524, 460525, 460525, 460526, 460526, 460527, 460527, 460528, 460528]","[-1, -1, -1, 1, -1, 1, 1, -1, 1, -1, -1, 1, -1, 1, 1, -1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, -1, 1, 1, -1, 1, -1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1, -1, 1, 1, -1]"
112,[5105],[-1]
116,[8633],[-1]
117,"[107431, 107508, 108296, 108327, 108902, 108946]","[-1, -1, 1, 1, 1, 1]"
118,"[160849, 161022]","[-1, -1]"
120,"[624225, 1581943]","[-1, -1]"
122,"[717, 923, 2080, 2208, 5105, 5268, 8062, 8633, 11305, 13048, 13590, 14785, 14805, 29948, 36237, 49931, 51182, 56713, 62111, 68396, 68607, 71516, 75901, 78520, 78759, 80669, 80669, 86504, 88232, 88797, 99755, 119498, 151991, 152995, 183934, 187372, 263633, 263721, 263721, 276734, 291635, 319858, 334313, 350698, 356576, 360439, 361444, 361469, 365408, 368538, 419032, 426660, 427010, 436277, 446780, 447415, 447450, 453228, 460092, 469866, 470511, 475734, 479169, 489525, 490644, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 602271, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 705446, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1416020, 1540172, 1797953, 1927101]","[-1, -1, -1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, 1]"
123,"[160849, 161022]","[-1, -1]"
124,[103459],[1]
125,"[27307, 193952, 377611, 1076153, 1155085, 1336957, 2055256]","[-1, -1, 1, 1, -1, -1, 1]"
128,"[160849, 161022]","[-1, -1]"
132,"[2580, 180615]","[-1, -1]"
133,"[5105, 336913, 1512632, 1512633, 1512634, 1579317, 2355442, 2385179]","[-1, -1, -1, -1, -1, -1, -1, -1]"
137,"[717, 923, 2080, 5268, 8062, 8633, 13048, 13590, 14785, 14805, 36237, 56713, 68607, 75901, 78520, 78759, 88797, 99755, 119498, 151991, 152995, 187372, 276734, 334313, 350698, 356576, 360439, 361444, 361469, 365408, 419032, 427010, 436277, 446279, 446780, 447415, 447450, 475734, 479169, 489525, 490644, 560078, 570962, 571772, 602271, 608601, 619010, 623658, 630975, 649637, 651088, 705446, 1379628, 1416020, 1424583, 1540172]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1]"
140,"[29325, 29325, 31146, 116927, 117236]","[1, -1, -1, 1, 1]"
141,"[5105, 5295, 5295, 6402, 6579, 8062, 8062, 11305, 22942, 28853, 68607, 75901, 78759, 88232, 88797, 99755, 151991, 190171, 335615, 368538, 382029, 382033, 382035, 460092, 462435, 469866, 512200, 512200, 514994, 551964, 552106, 571772, 677886, 677888, 677890, 678119, 678150, 678212, 678213, 678256, 1064901, 1064902, 1064903, 1064904, 1064905, 1283609, 1283614, 1287727, 1346017, 1408997, 1421987, 1421987, 1429397, 1590098, 1763587, 2092006, 2132546, 2266673, 2266798, 2273627, 2277349, 2353488, 2365870, 2368121, 2376301, 2380541, 2408205, 2424883, 2427902, 2451988]","[-1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1]"
142,"[2658, 5105, 6968, 172779, 304798, 1283609, 1283614, 1408997, 1424536, 2353488]","[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1]"
151,[232640],[-1]
152,[232640],[-1]
153,[6914],[-1]
154,"[717, 2208, 4775, 4775, 5105, 5268, 7427, 8633, 11305, 13590, 20027, 27370, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 160849, 161022, 183934, 204849, 204849, 205195, 205195, 205209, 205209, 205294, 205294, 205429, 205429, 205521, 205521, 205536, 205536, 205590, 205590, 205763, 205763, 206001, 206001, 206002, 206002, 206007, 206007, 206105, 206105, 291635, 309320, 309320, 309321, 309377, 309377, 309431, 309431, 309508, 309508, 319858, 360439, 368538, 387585, 419032, 426660, 427010, 446780, 453228, 460092, 462435, 469866, 470511, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 709094, 716337, 1037712, 1162276, 1162323, 1163097, 1220034, 1294151, 1348359, 1349249, 1379628, 1445910, 1445911, 1540172, 1797953, 1927101, 2334733]","[-1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1, -1, -1, -1, -1, 1, 1, -1, 1, -1, -1, 1, -1, 1, -1, 1, 1, -1, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1, 1, -1, -1, 1, -1]"
156,"[417248, 465506]","[-1, -1]"
158,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 14529, 22942, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 128914, 151991, 152995, 183934, 246935, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 509122, 528559, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 715025, 716337, 1037712, 1162276, 1179716, 1180204, 1220034, 1294151, 1348359, 1379628, 1512419, 1540172, 1561031, 1576964, 1623452, 1797953, 1927101, 2354047, 2423265]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, -1, 1, -1, 1, -1, -1, -1, -1]"
159,"[160849, 161022]","[-1, -1]"
160,"[22942, 49931, 90393, 90396, 365281]","[-1, -1, -1, -1, 1]"
163,"[8062, 27307, 47675, 49931, 51182, 78759, 82982, 82983, 368538]","[-1, -1, -1, 1, -1, -1, -1, -1, -1]"
164,"[5295, 5295, 6104, 8062, 14440, 54712, 88797, 138806, 433345, 505076, 598755, 625315, 626456, 628818, 680183, 713037, 1174608, 1275108, 1281585, 1281585, 1346768, 1565283, 1581043, 1762230, 1833732, 1833735, 1833736, 1833739, 2309986, 2314781]","[-1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
165,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1376110, 1376110, 1379628, 1540172, 1797953, 1927101]","[-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1]"
166,"[860, 2658]","[-1, -1]"
169,"[4584, 9128, 19316, 261089, 513723, 579828, 579857, 579864, 683964, 1173967, 1173967]","[1, 1, -1, 1, 1, 1, 1, 1, -1, -1, 1]"
170,"[5295, 78759, 2200045]","[-1, -1, -1]"
171,"[58818, 160170, 160650, 193952, 341064, 365284, 370540, 370548, 370556, 370563, 370564, 370572, 370580, 370588, 370589, 370595, 370601, 370603, 370604, 370605, 370611, 370618, 370649, 370654, 370656, 370662, 370664, 370668, 370675, 370686, 370696, 370711, 370712, 370735, 370741, 370749, 370774, 370782, 458558, 1145229, 1145229]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
172,[419596],[-1]
173,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 14785, 14805, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 470511, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 619010, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1376145, 1379628, 1439146, 1449226, 1540172, 1797953, 1817511, 1817512, 1817514, 1817515, 1817516, 1817517, 1817518, 1817519, 1927101, 2083644, 2415514]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
175,[51182],[-1]
176,[88797],[-1]
178,"[27307, 27307, 281080, 281080]","[1, -1, -1, 1]"
180,"[5295, 75901, 161178, 2387448]","[-1, -1, -1, -1]"
181,[390877],[-1]
