,compound_id,cell_id,active,prediccion
82,269098,408,-1,-1
83,269098,936,-1,-1
84,269128,408,-1,-1
85,282883,517,-1,-1
86,282883,382,-1,1
87,283351,382,-1,1
88,283938,517,-1,-1
89,283938,382,-1,1
90,311081,451,-1,-1
91,311081,624,-1,-1
92,311081,635,-1,-1
93,311081,434,-1,-1
94,311081,493,-1,-1
95,311081,757,-1,-1
96,311081,408,-1,-1
97,311081,730,-1,1
98,311081,572,-1,1
99,311266,743,-1,-1
100,311266,754,-1,-1
101,311266,786,-1,-1
102,311266,626,-1,-1
103,311266,624,-1,-1
104,311266,381,-1,-1
105,311266,512,-1,-1
106,311266,532,-1,-1
107,311266,641,-1,-1
108,311266,770,-1,-1
109,311266,757,-1,-1
110,311266,493,-1,-1
111,311343,743,-1,-1
112,311343,721,-1,-1
113,311343,532,-1,-1
114,311343,624,-1,-1
115,311343,770,-1,-1
116,311343,786,-1,-1
117,311343,668,-1,1
118,311343,641,-1,-1
119,311343,754,-1,-1
120,311343,512,-1,-1
121,311343,757,-1,-1
122,311343,493,-1,-1
123,314587,5673,-1,-1
124,316014,646,-1,-1
125,316014,786,-1,-1
126,319097,308,-1,0
127,319806,721,-1,-1
128,319959,687,-1,-1
129,320194,687,-1,-1
130,345080,525,-1,-1
131,373381,512,-1,-1
132,373381,594,-1,-1
133,374608,509,-1,0
134,403494,1601,1,0
135,407575,5678,-1,-1
136,418401,910,-1,-1
137,418820,1673,-1,1
138,418833,1673,1,0
139,420127,721,-1,-1
140,426514,5673,-1,-1
141,428561,5836,-1,-1
142,429737,496,-1,-1
143,434834,303,-1,-1
144,444879,726,-1,-1
145,444879,721,-1,1
146,446022,5836,-1,-1
147,462435,473,-1,-1
148,462435,928,-1,-1
149,476109,308,1,0
150,477124,757,1,1
151,477124,308,1,1
152,477344,303,1,-1
153,479372,325,-1,-1
154,483879,491,-1,-1
155,483879,721,-1,-1
156,485100,646,-1,-1
157,485100,5859,-1,-1
158,500672,5553,-1,-1
159,502787,383,-1,0
160,502798,383,-1,-1
161,508588,408,-1,-1
162,520798,522,-1,-1
163,543801,691,-1,1
164,544610,491,-1,1
165,575613,981,-1,-1
166,577368,5836,-1,-1
167,581814,789,-1,-1
168,609809,449,-1,-1
169,674436,473,-1,1
170,674436,325,-1,-1
171,674436,726,-1,-1
172,680183,5544,-1,-1
173,680183,555,-1,1
174,680183,721,-1,-1
175,695878,655,1,-1
176,695878,1732,1,-1
177,714244,5673,-1,-1
178,840903,5720,-1,-1
179,975608,5673,-1,-1
180,1050646,594,-1,-1
181,1050952,594,-1,-1
182,1063716,325,1,0
183,1063716,687,-1,0
184,1063717,687,1,1
185,1063717,325,1,-1
186,1063719,687,1,1
187,1063719,325,1,-1
188,1077185,538,-1,-1
189,1089820,491,-1,-1
190,1137635,898,-1,1
191,1137643,898,-1,1
192,1137647,898,-1,1
193,1175249,491,-1,-1
194,1175249,646,-1,1
195,1282795,559,-1,-1
196,1376970,5673,-1,-1
197,1377979,1601,-1,1
198,1383172,439,-1,1
199,1383172,630,-1,-1
200,1386783,574,-1,1
201,1387290,574,-1,1
202,1443351,491,-1,1
203,1546918,635,-1,-1
204,1560923,5646,-1,1
205,1579602,676,-1,-1
206,1580194,5646,-1,1
207,1580203,5646,-1,1
208,1580204,5646,-1,1
209,1580429,723,-1,-1
210,1580429,786,-1,-1
211,1580429,455,-1,-1
212,1584525,676,-1,-1
213,1585122,676,-1,-1
214,1585133,676,-1,-1
215,1588645,5709,-1,-1
216,1609373,676,-1,-1
217,1609375,676,-1,-1
218,1613782,786,-1,0
219,1671938,5804,-1,-1
220,1671938,5788,-1,-1
221,1729363,632,-1,-1
222,1747725,5674,-1,-1
223,1779606,533,-1,-1
224,1779606,293,1,1
225,1779606,53,1,1
226,1779606,589,-1,-1
227,1779606,590,-1,-1
228,1779606,626,-1,-1
229,1779606,408,1,1
230,1779606,555,-1,-1
231,1779606,158,1,1
232,1779606,491,1,1
233,1779606,341,1,1
234,1779606,770,1,1
235,1779606,471,1,1
236,1779606,747,1,1
237,1779606,730,1,1
238,1779606,606,1,1
239,1779606,335,1,1
240,1779606,451,1,1
241,1779606,690,1,1
242,1779606,306,-1,-1
243,1779606,786,1,1
244,1779606,701,1,1
245,1779606,600,1,1
246,1779606,676,1,1
247,1779606,486,1,1
248,1779606,667,1,1
249,1779606,512,1,1
250,1779606,547,1,1
251,1779606,493,-1,-1
252,1779606,548,1,1
253,1779606,763,1,1
254,1779606,757,1,1
255,1780438,1601,-1,-1
256,1789285,377,-1,-1
257,1789285,5697,-1,-1
258,1843935,676,1,0
259,1927160,717,-1,-1
260,1927160,572,1,1
261,1927160,1407,-1,-1
262,1948308,676,-1,0
263,1967293,1601,1,1
264,1967294,1601,1,1
265,2027023,440,-1,-1
266,2027023,741,-1,-1
267,2051995,5698,-1,1
268,2052003,5698,-1,1
269,2052010,5698,-1,1
270,2052025,627,-1,-1
271,2056947,5698,-1,1
272,2056948,5698,1,1
273,2058597,5836,-1,-1
274,2058611,5836,-1,-1
275,2078208,899,-1,1
276,2095611,5697,-1,-1
277,2095620,5697,-1,-1
278,2141427,5737,-1,-1
279,2142964,5719,-1,-1
280,2154664,5719,-1,-1
281,2160662,5719,-1,-1
282,2167544,5698,-1,1
283,2181647,489,-1,-1
284,2181647,5604,-1,1
285,2183045,489,-1,-1
286,2183045,5604,1,1
287,2205481,723,-1,-1
288,2205807,5723,-1,-1
289,2210311,723,-1,-1
290,2211906,723,-1,-1
291,2213330,5698,-1,-1
292,2223633,5698,1,-1
293,2233296,5698,-1,-1
294,2238136,723,-1,-1
295,2243654,1601,-1,1
296,2281782,726,-1,-1
297,2281782,721,-1,0
298,2317260,394,-1,1
299,2317260,503,-1,-1
300,2330171,394,-1,1
301,2330171,503,-1,-1
302,2332425,434,-1,0
303,2341631,325,-1,0
304,2354644,308,-1,1
305,2372422,646,-1,-1
306,2427783,726,-1,-1
307,2487909,455,-1,1
308,2489346,500,-1,-1
309,2489348,5673,-1,-1
310,2489449,588,-1,-1
311,2489449,500,-1,-1
312,2489463,5673,-1,-1
313,2489890,588,-1,-1
314,2489890,500,-1,-1
315,2490061,5673,-1,-1
316,2490668,646,-1,-1
317,2490668,491,-1,-1
318,2491027,440,1,0
319,2491438,721,-1,-1
320,2491438,308,-1,-1
321,2491438,646,-1,-1
322,2491438,641,-1,1
323,2491581,325,-1,0
324,2492067,722,-1,-1
325,2492067,721,-1,-1
326,2492539,726,-1,-1
327,2492553,588,1,-1
328,2492553,500,-1,-1
329,2493050,693,1,-1
330,2493050,646,-1,0
331,2493050,491,-1,1
332,2493549,646,-1,-1
333,2493735,588,-1,-1
334,2493735,500,-1,-1
335,2494520,726,-1,-1
336,2494520,646,-1,-1
337,2494849,440,-1,-1
338,2494920,721,-1,0
339,2494920,308,-1,0
340,2494920,646,-1,0
341,2494920,641,-1,-1
342,2494920,693,-1,-1
343,2495090,786,-1,1
344,2495555,646,-1,-1
345,2495555,693,-1,-1
346,2495555,491,-1,-1
347,2495746,522,-1,-1
348,2496486,468,-1,1
349,2497230,786,-1,1
350,2497572,5678,-1,-1
351,2497572,655,-1,-1
352,2497763,325,-1,0
353,2498295,646,-1,-1
354,2498295,726,-1,-1
355,2499334,325,1,1
356,2499481,325,1,1
357,2500161,500,-1,-1
358,2500161,588,-1,-1
359,2500226,646,-1,-1
360,2501994,5698,-1,-1
361,2502224,694,-1,1
362,2502224,646,-1,-1
363,2502592,726,-1,-1
364,2503004,440,-1,-1
365,2503100,308,-1,1
366,2503100,457,-1,-1
367,2503169,500,-1,-1
