smiles,pref_name,id_29,top3_29
CCCOC(=O)c1cc(O)c(O)c(O)c1,PROPYL GALLATE,3346,
COc1cc(OC)c(OC)cc1CC(C)N,,3485,
Nc1nc(O)c2nc(N)n(Cc3ccccc3)c2n1,,3505,
CCCCCCc1cc(OC)c(CC(C)N)cc1OC,,3534,
COc1cc(CC(C)N)c(OC)cc1O,,3620,
COc1ccc(OC)c(CC(C)N)c1,,3710,
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,METHYLDOPA,3730,
COc1ccc2[nH]c3c(O)nncc3c2c1,,3731,
O=C1C=CC(=O)C=C1,BENZOQUINONE,3765,
COc1ccc2[nH]c3c(cnn4cnnc34)c2c1,,3837,
NC(=O)CI,IODOACETAMIDE,3838,
CCN1C(=O)C=CC1=O,N-ETHYLMALEIMIDE,3889,
CC(C)[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,MDL-28170,3891,
CC1=NN(CCOc2ccc3ccccc3c2)C(=O)C1,NAFAZATROM,3943,
CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1,REV-5901,3986,
C=C1CCOC1=O,TULIPALINE A,4120,
CCCN(CCC)C1CCc2cccc(O)c2C1,8-OH-DPAT,4149,"[35324, 57632, 687]"
CCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,,4200,
CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,,4228,"[4228, 4229, 344196]"
CCCCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,,4229,
CCCCCCCCCCCC(=O)N[C@H]1CCOC1=O,,4353,
NCCc1ccc(O)c(O)c1,DOPAMINE,4584,"[410831, 482442, 1303796]"
CCOC(=O)c1cc2c3ccccc3nc(O)n2n1,,4650,
CCOC(=N)c1ccccc1O,,4729,
NC(=O)NO,HYDROXYUREA,4730,
CCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,4855,
NNC(=O)c1ccncc1,ISONIAZID,4941,
CCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,4975,
CCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,5026,
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,THALIDOMIDE,5028,
CCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,5145,
CCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,5148,
CCCCCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,5175,
CCCCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,5250,
CCCCCCCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,5253,
CCCCCCCCCCCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,5262,
CCCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,5267,
COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)c(N)c1,,5284,
CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,5303,
CCCCCCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,5328,
CN(C)C=O,DIMETHYLFORMAMIDE,5404,
Nc1cccc(O)c1,3-AMINOPHENOL,5425,
CC[N+](CC)(CC)CC,TETRYLAMMONIUM,5467,
CC(=O)Nc1cccc(O)c1,METACETAMOL,5540,
COc1ccc(CCCN2CCC(COCc3ccc(Cl)c(Cl)c3)CC2)cc1,,5574,
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,CLOFILIUM,5583,
Cc1ccnc(NCCCCC(=O)NNC(=O)CC(CC(=O)O)c2cc(Cl)cc(Cl)c2)c1,,5584,
Cc1ccnc(NCCCCC(=O)NNC(=O)NC(CC(=O)O)c2cc(Cl)cc(Cl)c2)c1,,5590,
Cc1ccnc(NCCCC(=O)NCC(=O)NC(CC(=O)O)c2cccc(OC(F)(F)F)c2)c1,,5617,
CNC(=O)c1ccccc1,,5626,
COc1ccc(CCCN2CCC(CO)CC2)cc1,,5639,
COc1ccc(CCCN2CCC(COCC3CCCCC3)CC2)cc1,,5678,
COc1ccc(CCCN2CCC(COCc3ccccn3)CC2)cc1,,5679,
CNC=O,,5684,
NC=O,FORMAMIDE,5693,
COc1ccc(CCCN2CCC(COCc3ccc(Cl)cc3)CC2)cc1,,5785,
COc1ccc(CCCN2CCC(COCc3ccccc3)CC2)cc1,,5793,
Cc1ccnc(NCCCCC(=O)NCC(=O)NC(CC(=O)O)c2cc(Cl)cc(Cl)c2)c1,,5827,
CN(C)CCNC(=O)c1cccc2cccnc12,,5861,
CSc1ccc(NC2=NCCN2)cc1,,5960,
CCCOc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,,6015,
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,ADEFOVIR,6078,
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(F)C1O)OC(=O)CCCCCCCCCCCCCCC,,6097,
CCCCOc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,,6142,
CC(C)Oc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,,6143,
OCCOc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,,6146,
FC(F)(F)COc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,,6147,
CCOc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,,6168,
COc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,,6242,
COCCOc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,,6248,
CCCCCCOc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,,6251,
CC(C)COc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,,6252,
CCCCCCCN[C@H]1CCC[C@@H]1CCCCCCC(=O)O,,6334,
CCCCCCCOc1ccc(CC[C@@](C)(N)CO)cc1,,6353,
CCCCCCCOc1ccc(CC[C@](C)(N)CO)cc1,,6360,
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHLOROQUINE,6579,
CCN(CC)CC(=O)Nc1c(C)cccc1C,LIDOCAINE,6723,
COc1ccc(CCCc2cc(OC)c(OC)c(OC)c2)cc1O,,6971,
COc1ccc(Cc2cc(OC)c(OC)c(OC)c2)cc1O,,6972,
COc1ccc(CCc2cc(OC)c(OC)c(OC)c2)cc1O,,7071,
CC(C)(C)NCC(O)COc1ccc(O)c(O)c1,,7431,
CC(C)(C)NCC(O)COc1ccc(O)c(O)c1F,,7438,
C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)O,,7461,
CC(C)(C)NCC(O)COc1cc(O)c(O)cc1F,,7531,
N[C@@H](Cc1ccccc1)C(=O)CCC(=O)O,,7564,
N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O,,7728,
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,METOCLOPRAMIDE,7736,
CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CO)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)O,,7819,
Oc1c(I)cc(Cl)c2cccnc12,CLIOQUINOL,8193,
CN1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O,,8337,
Cc1ccc(NC2=C(Cl)C(=O)c3ccncc3C2=O)cc1,,8437,
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,CHLORPROPAMIDE,8516,
CCOc1ccc(NC2=C(Cl)C(=O)c3cccnc3C2=O)cc1,,8529,
CC(C)NCC(O)COc1cccc2[nH]ccc12,PINDOLOL,8543,
COc1ccc(NC2=C(Cl)C(=O)c3cccnc3C2=O)cc1,,8570,
COc1ccc(NC2=C(Cl)C(=O)c3ccncc3C2=O)cc1,,8586,
CCc1ccc(NC2=C(Cl)C(=O)c3cccnc3C2=O)cc1,,8590,
Cc1ccc(NC2=C(Cl)C(=O)c3cccnc3C2=O)cc1,,8600,
CCOc1ccc(NC2=C(Cl)C(=O)c3ccncc3C2=O)cc1,,8650,
CCc1ccc(NC2=C(Cl)C(=O)c3ccncc3C2=O)cc1,,8657,
Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N,STALLIMYCIN,8667,"[550748, 1744007, 124078]"
Nc1ncnc2c1ncn2CC(O)CO,,8675,
CC(=N)NCCC[C@H](N)C(=O)O,L-NIO,8692,
COC(=O)c1ccc([N+](=O)[O-])n1C,,8762,
COC(=O)c1cn(C)cc1[N+](=O)[O-],,8783,
NNc1nncc2ccccc12,HYDRALAZINE,8788,NaN
NC(CCCCCP(=O)(O)O)C(=O)O,AP-7,8875,
CC1=CC(=O)c2c(O)ccc(O)c2C1=O,,8907,
NCCc1c[nH]cn1,HISTAMINE,8910,
NCCc1ccc(O)cc1,TYRAMINE,9060,
CCCN(CCC)C1CCc2c(O)cccc2C1,5-OH-DPAT,9128,
CCOC(=O)CCC(NC(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3c2)cc1)C(=O)OCC,,9221,
