cell_id,id_compuestos_actividad_positiva
305,"[1413, 6614, 6972, 7501, 8632, 14440, 17283, 22404, 22653, 22664, 22693, 22733, 23003, 23048, 23721, 25906, 31543, 31738, 37647, 47573, 48376, 50068, 50122, 50153, 50219, 50254, 50593, 50595, 50908, 50944, 51929, 52696, 56458, 63535, 69890, 71516, 74878, 74927, 75146, 75185, 75194, 75286, 78759, 88859, 90393, 90396, 95663, 102283, 103903, 105171, 108462, 112162, 112277, 112777, 115841, 118719, 119029, 119030, 119067, 121457, 140626, 145686, 150774, 151991, 152957, 153013, 161022, 168418, 168932, 169182, 169216, 173051, 188699, 188773, 188804, 189109, 189110, 190119, 202595, 202771, 212379, 219568, 241824, 242791, 250427, 251777, 253443, 255207, 255474, 255894, 256904, 257023, 258450, 259324, 259355, 260718, 268526, 285786, 291459, 291953, 307667, 313194, 313347, 313563, 313728, 322803, 334592, 335273, 356083, 360430, 360511, 365103, 369669, 371801, 374607, 383065, 385754, 394234, 421386, 421478, 425140, 425249, 429181, 443901, 443988, 446301, 446374, 456064, 456066, 461993, 463083, 463131, 469866, 474448, 486915, 499753, 499979, 500098, 505366, 508470, 523878, 553879, 556158, 560078, 561487, 563355, 566763, 567388, 569664, 581042, 586705, 594270, 598111, 608320, 612049, 643046, 663824, 668976, 685991, 713037, 946146, 984121, 1073669, 1083052, 1086372, 1087199, 1090888, 1092090, 1098478, 1099446, 1107252, 1107730, 1109075, 1111689, 1116150, 1141160, 1174608, 1180722, 1246861, 1264836, 1285618, 1285712, 1285780, 1285813, 1285819, 1285861, 1286293, 1286484, 1286643, 1287033, 1287061, 1287108, 1287275, 1287276, 1287429, 1287622, 1287727, 1287753, 1288542, 1289342, 1290079, 1290155, 1290389, 1290649, 1290787, 1290807, 1290847, 1290936, 1291336, 1291657, 1291995, 1292283, 1292485, 1292621, 1292802, 1293010, 1293126, 1293128, 1293157, 1293239, 1293346, 1293492, 1294066, 1294355, 1294670, 1294858, 1294937, 1295051, 1295439, 1295661, 1295686, 1295834, 1295853, 1295858, 1295962, 1296257, 1296304, 1296423, 1296453, 1296706, 1296813, 1296842, 1296944, 1297177, 1297708, 1298211, 1298337, 1298711, 1299053, 1299317, 1299463, 1299464, 1299769, 1299800, 1300118, 1300259, 1300358, 1300693, 1300758, 1300863, 1301082, 1301259, 1301616, 1302079, 1302269, 1302980, 1303201, 1303592, 1303658, 1303659, 1303752, 1303782, 1304124, 1304788, 1304857, 1305235, 1305249, 1305286, 1305431, 1305509, 1305886, 1306213, 1306482, 1306714, 1307005, 1307250, 1307785, 1307871, 1308005, 1308390, 1308902, 1308993, 1309025, 1309200, 1309280, 1309727, 1309845, 1309855, 1309876, 1310051, 1310423, 1310740, 1310870, 1311392, 1311461, 1311764, 1311916, 1311949, 1312023, 1312119, 1312382, 1312410, 1312508, 1312854, 1312910, 1313258, 1313323, 1313365, 1313462, 1313858, 1314617, 1314857, 1315057, 1315162, 1315221, 1315293, 1315705, 1315800, 1316187, 1316418, 1316544, 1316582, 1316609, 1316694, 1316771, 1317044, 1317326, 1317447, 1317747, 1317809, 1317813, 1318090, 1318292, 1318557, 1318698, 1319180, 1320186, 1320272, 1320302, 1320792, 1320863, 1320933, 1321181, 1321371, 1321380, 1321465, 1322243, 1322737, 1322771, 1322890, 1322975, 1323540, 1323772, 1323819, 1323861, 1324154, 1324161, 1324918, 1325026, 1325087, 1325129, 1325501, 1325601, 1325675, 1325878, 1326321, 1326750, 1326970, 1327125, 1327607, 1327626, 1328332, 1331158, 1340723, 1344392, 1379628, 1417824, 1417905, 1417930, 1417934, 1548207, 1548216, 1548222, 1548233, 1548271, 1548286, 1548291, 1548301, 1548319, 1548338, 1548339, 1548353, 1548367, 1548368, 1548375, 1548376, 1548378, 1548380, 1548384, 1548387, 1548435, 1548555, 1548569, 1548571, 1548572, 1548585, 1548589, 1548594, 1548772, 1548774, 1548937, 1548944, 1548953, 1549000, 1549052, 1549088, 1549119, 1549300, 1549318, 1549324, 1549346, 1549366, 1549368, 1549384, 1549443, 1549460, 1549585, 1549586, 1549628, 1581043, 1611261, 1616076, 1623546, 1726441, 1778984, 1833739, 1835814, 1835817, 1840420, 1840421, 2052564, 2053979, 2060432, 2112863, 2297516, 2314762, 2438978]"
306,"[1413, 6614, 8632, 14440, 17283, 22653, 22689, 22693, 22733, 23003, 23048, 28853, 31543, 31738, 41578, 44378, 47573, 48376, 50189, 50254, 50256, 50595, 50640, 51018, 51929, 52696, 63279, 63535, 70814, 71140, 71315, 71516, 74927, 75116, 75146, 75194, 75286, 78759, 86885, 88859, 90396, 102283, 103903, 108462, 112277, 115841, 117236, 118719, 121457, 140626, 150774, 152957, 153013, 168418, 168932, 182634, 182797, 183134, 183291, 183326, 188699, 188773, 188804, 189109, 190119, 204071, 204198, 204268, 204645, 219568, 226044, 226670, 231557, 231558, 232646, 233518, 241824, 242446, 253443, 255207, 258450, 259324, 259355, 268526, 285786, 291459, 291953, 307667, 312777, 322803, 334592, 335273, 360430, 369737, 370502, 380716, 421386, 425249, 443901, 443988, 446301, 456061, 456064, 456066, 456068, 456069, 463083, 463131, 464009, 481621, 498731, 498733, 499979, 500098, 505366, 508470, 523878, 560582, 561487, 563355, 569664, 586705, 594270, 598111, 598755, 608320, 649926, 713037, 715030, 715034, 715035, 946146, 1073654, 1086372, 1087199, 1088506, 1090888, 1092090, 1098478, 1099446, 1107252, 1107730, 1107750, 1108578, 1109075, 1111689, 1141160, 1143686, 1169814, 1174608, 1180722, 1220034, 1246861, 1285618, 1286293, 1286484, 1286643, 1286909, 1287033, 1287061, 1287225, 1287265, 1287727, 1287753, 1289342, 1289912, 1290155, 1290389, 1290787, 1290807, 1290936, 1290957, 1290994, 1291336, 1291995, 1292283, 1292485, 1293010, 1294066, 1294244, 1294355, 1294937, 1295439, 1295661, 1295686, 1296257, 1296453, 1296706, 1296813, 1297708, 1298711, 1299464, 1299769, 1299800, 1300118, 1300259, 1300758, 1301082, 1301259, 1302079, 1302269, 1303592, 1303658, 1303752, 1303782, 1304788, 1304857, 1305121, 1305249, 1305286, 1305431, 1305509, 1306213, 1307250, 1307785, 1307871, 1308005, 1308390, 1308902, 1309200, 1309246, 1309280, 1309727, 1310051, 1311072, 1311392, 1311949, 1312023, 1312119, 1312382, 1312410, 1312854, 1312910, 1313258, 1313365, 1314617, 1314781, 1314857, 1315221, 1315475, 1315705, 1316187, 1316418, 1316582, 1316609, 1316771, 1317044, 1317447, 1317809, 1317813, 1317879, 1318392, 1318698, 1319180, 1320186, 1320302, 1320626, 1320792, 1320863, 1321465, 1322243, 1322343, 1322737, 1322890, 1322926, 1322975, 1323540, 1323861, 1324161, 1324918, 1325026, 1325129, 1325601, 1325675, 1326321, 1326567, 1327626, 1328332, 1331158, 1340723, 1417824, 1417859, 1417905, 1444285, 1444287, 1444288, 1444289, 1444290, 1444291, 1444294, 1444295, 1548207, 1548222, 1548271, 1548291, 1548338, 1548339, 1548367, 1548375, 1548378, 1548380, 1548384, 1548387, 1548435, 1548555, 1548571, 1548772, 1548774, 1548937, 1548944, 1549052, 1549119, 1549324, 1549346, 1549368, 1549384, 1549443, 1549460, 1549628, 1581043, 1590662, 1613549, 1616076, 1623546, 1726441, 1833739, 1835814, 1835817, 1836858, 2052563, 2052564, 2053979, 2060432, 2213773, 2297516, 2314762, 2375079, 2385807, 2438978]"
307,"[3998, 34608, 131284, 349910, 374019, 438736, 1587855, 2266798, 2321271]"
308,"[173, 1146, 1419, 2067, 2203, 2658, 3965, 4149, 6914, 6972, 8633, 24024, 24969, 51961, 52812, 62208, 68607, 80209, 103658, 103903, 105171, 106835, 112235, 136554, 145257, 150373, 152995, 160571, 160857, 163859, 164052, 164179, 164201, 164305, 164425, 164551, 164607, 167005, 182377, 196351, 210075, 210339, 222887, 228112, 292690, 293141, 293423, 294360, 294367, 294488, 294853, 294964, 303507, 309922, 309930, 326846, 326945, 327369, 331738, 332293, 333181, 335518, 336913, 352969, 354307, 354337, 354392, 356248, 356700, 356712, 356714, 356715, 356747, 356748, 356749, 356769, 356794, 356797, 356817, 356818, 356848, 356849, 356874, 356900, 356905, 356925, 356931, 356932, 356933, 356934, 356950, 356953, 356954, 356959, 356961, 356962, 357000, 357001, 357002, 357004, 357025, 357033, 357034, 357055, 357056, 357063, 357080, 357086, 357087, 357092, 357149, 357158, 357159, 357160, 363555, 363588, 363597, 363605, 363606, 363639, 363646, 363668, 365289, 366779, 369669, 369737, 373404, 380949, 380968, 380971, 380973, 382446, 387070, 395394, 401782, 401787, 402327, 403492, 415465, 419032, 422253, 432981, 433014, 435188, 443957, 443961, 453839, 453840, 453919, 453920, 453922, 453923, 454022, 454023, 456266, 457146, 457147, 457204, 457843, 457902, 460524, 460527, 464347, 469866, 479370, 479371, 495195, 495196, 499179, 499960, 499961, 500028, 500081, 503391, 506014, 507159, 507178, 508470, 508487, 519323, 519324, 520664, 521029, 523099, 524824, 553960, 554449, 556778, 558492, 558555, 558566, 558583, 563890, 564219, 565705, 567522, 574447, 576758, 576770, 578462, 578884, 581302, 581382, 581569, 584368, 585479, 592366, 592367, 592368, 592369, 592371, 592374, 592375, 592376, 592377, 592379, 592380, 592382, 592383, 592384, 592385, 592386, 593534, 593552, 593861, 595400, 595402, 595408, 595412, 598654, 603696, 603870, 604026, 607513, 615463, 628173, 633587, 644791, 675307, 675699, 685561, 686494, 686616, 686617, 690187, 691215, 701977, 705446, 706453, 706454, 712273, 725009, 727694, 764597, 768109, 772687, 775057, 786544, 801621, 803047, 806322, 812393, 840903, 849805, 880664, 881906, 883630, 918004, 927846, 964566, 967723, 987367, 995885, 996851, 998763, 1009274, 1010415, 1065825, 1067355, 1067356, 1067357, 1140627, 1143065, 1143188, 1143189, 1143213, 1151514, 1161785, 1161786, 1161787, 1161788, 1161789, 1161790, 1161792, 1161793, 1161909, 1161911, 1161912, 1162244, 1162307, 1162323, 1166781, 1170158, 1248989, 1266211, 1266221, 1266227, 1266236, 1266688, 1267835, 1267837, 1267844, 1267847, 1267850, 1267851, 1267855, 1267960, 1267961, 1267962, 1270497, 1270498, 1270501, 1277745, 1277746, 1277747, 1277748, 1277915, 1277918, 1277919, 1277921, 1278066, 1278067, 1278068, 1278069, 1278070, 1278358, 1278361, 1278362, 1278363, 1293346, 1309707, 1311889, 1338197, 1338202, 1338908, 1338910, 1346011, 1346013, 1346017, 1352184, 1352185, 1358137, 1358138, 1358141, 1424397, 1510677, 1510678, 1510680, 1510681, 1510682, 1510683, 1510684, 1510685, 1510687, 1510688, 1510690, 1510691, 1510697, 1514439, 1514440, 1514441, 1514442, 1514443, 1514444, 1514445, 1514446, 1514725, 1514726, 1514727, 1514728, 1514729, 1514730, 1514731, 1514732, 1514733, 1514734, 1514735, 1514736, 1514737, 1514738, 1514739, 1514740, 1514741, 1514742, 1514744, 1514745, 1514746, 1514750, 1514753, 1514762, 1514763, 1514764, 1514765, 1514767, 1514771, 1514772, 1514773, 1515083, 1515084, 1515085, 1515086, 1515087, 1515088, 1515089, 1515090, 1515091, 1515092, 1515093, 1515094, 1515097, 1515098, 1515099, 1515100, 1515101, 1515102, 1515103, 1515104, 1515105, 1515106, 1515107, 1515108, 1515109, 1515110, 1515111, 1515113, 1515114, 1515115, 1515116, 1515117, 1515118, 1515119, 1515121, 1515122, 1515123, 1515124, 1519878, 1519880, 1519884, 1519885, 1519886, 1519887, 1519892, 1519902, 1520834, 1520851, 1521637, 1521647, 1521650, 1521651, 1521652, 1525526, 1542523, 1559118, 1559119, 1559120, 1565570, 1581750, 1581788, 1593324, 1610645, 1614297, 1617190, 1617193, 1617194, 1724377, 1732204, 1733441, 1733451, 1733452, 1733453, 1746222, 1746233, 1778738, 1778743, 1781787, 1782079, 1782715, 1788326, 1790836, 1791809, 1794481, 1798505, 1819971, 1820571, 1827305, 1833739, 1837808, 1844770, 1946550, 1954163, 1954174, 1962015, 1962338, 1966216, 1967293, 1970509, 1971023, 1971027, 1971031, 1971035, 2003279, 2003292, 2061179, 2061314, 2061799, 2062388, 2062396, 2062400, 2062404, 2092006, 2095045, 2095061, 2095065, 2100302, 2103588, 2116234, 2119968, 2130023, 2138927, 2149068, 2154570, 2157820, 2163298, 2166499, 2167931, 2168286, 2178741, 2184929, 2200045, 2206831, 2209268, 2209764, 2210802, 2213095, 2213852, 2216597, 2218574, 2220075, 2222789, 2223437, 2225152, 2226675, 2227306, 2229456, 2230303, 2230758, 2236573, 2237836, 2246881, 2251060, 2258357, 2262194, 2264477, 2264764, 2266673, 2267001, 2267312, 2268810, 2269024, 2269797, 2270104, 2270754, 2270761, 2270937, 2272440, 2274529, 2276419, 2276439, 2276729, 2276955, 2279211, 2279226, 2280305, 2284982, 2294925, 2301232, 2301902, 2302683, 2307040, 2310018, 2320331, 2321210, 2321925, 2327422, 2329274, 2330823, 2330970, 2331830, 2332530, 2332920, 2341882, 2343474, 2344063, 2344434, 2345681, 2347503, 2347531, 2347883, 2348225, 2348484, 2351321, 2353555, 2354550, 2355000, 2356244, 2356536, 2357241, 2358291, 2359000, 2361689, 2361718, 2364626, 2365469, 2366066, 2366597, 2369238, 2369605, 2371589, 2372511, 2372895, 2373628, 2377807, 2378854, 2379580, 2380263, 2380321, 2381508, 2381653, 2382776, 2383695, 2384004, 2384047, 2385112, 2392132, 2394024, 2394401, 2394964, 2396705, 2399821, 2402612, 2404015, 2404045, 2404171, 2405429, 2406706, 2410443, 2410733, 2411910, 2412046, 2412135, 2417215, 2419368, 2420726, 2422857, 2424369, 2425468, 2430649, 2433454, 2436774, 2440316, 2443558, 2444408, 2444831, 2446244, 2448709, 2451343, 2451685, 2453976, 2461937, 2468967, 2468976, 2469538, 2469552, 2469704, 2470117, 2470483, 2470683, 2470758, 2471293, 2471532, 2471661, 2471864, 2472421, 2472804, 2472875, 2474087, 2474130, 2474459, 2474507, 2474516, 2474773, 2475312, 2476174, 2476179, 2476205, 2476243, 2476392, 2476470, 2476471, 2476541, 2476636, 2476805, 2477372, 2477552, 2477740, 2477974, 2478142, 2478560, 2478661, 2478936, 2479212, 2479570, 2479758, 2480119, 2480188, 2480672, 2480889, 2481302, 2481318, 2481789, 2481840, 2482336, 2482446, 2482637, 2482792, 2483200, 2483850, 2484048, 2484786, 2484801, 2484848, 2485146, 2485358, 2485666, 2486028, 2486398]"
309,"[5105, 71516, 75901, 152995, 183934, 419032, 560078, 1294151, 1927101]"
313,"[8062, 87539, 87606, 87637]"
315,"[418820, 1143686]"
321,"[365281, 474601, 555233, 1264352]"
322,[425283]
324,"[48789, 62806, 62818, 62850, 68607, 69277, 81083, 82297, 88859, 142860, 152957, 152995, 153013, 157810, 200317, 203647, 203648, 203867, 203915, 306208, 306273, 306288, 306927, 306998, 306999, 310624, 310831, 310878, 310915, 312097, 312617, 312667, 312777, 312887, 313067, 313144, 313307, 332293, 356248, 374008, 453846, 462435, 464009, 464347, 480247, 480249, 480250, 480312, 480313, 480314, 480315, 480316, 480380, 490340, 503190, 503859, 510406, 522226, 554449, 556594, 645781, 645782, 645783, 645784, 645842, 645904, 645906, 645907, 645964, 645965, 645966, 646027, 646028, 646029, 646030, 649068, 1060043, 1060044, 1060045, 1063717, 1063718, 1063719, 1065664, 1065665, 1065671, 1065684, 1065890, 1146621, 1160289, 1160290, 1178532, 1270077, 1270078, 1270079, 1277746, 1277747, 1277915, 1277919, 1277921, 1278068, 1278069, 1278070, 1440140, 1440146, 1440148, 1443919, 1443924, 1578727, 1623546, 1633202, 1749550, 1749558, 1749562, 1782101, 1782102, 1793112, 1793114, 1793116, 1794760, 1952472, 2078762, 2132418, 2154038, 2176171, 2180325, 2182594, 2212315, 2213947, 2214185, 2214857, 2215300, 2219121, 2231332, 2231513, 2235624, 2236612, 2243384, 2270761, 2274529, 2292789, 2344046, 2351020, 2354814, 2369394, 2374945, 2378278, 2381177, 2423616, 2469013, 2471567, 2473430, 2474790, 2480174, 2482227, 2483900]"
