cell_id,id_compuestos_actividad
38,"[717, 923, 2080, 2208, 5105, 5268, 8062, 8633, 11305, 13048, 13590, 14785, 14805, 36237, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78520, 78759, 88232, 119498, 151991, 152995, 183934, 187372, 276734, 291635, 319858, 334313, 350698, 356576, 360439, 361444, 361469, 365408, 419032, 426660, 427010, 436277, 446780, 447415, 447450, 453228, 460092, 469866, 475734, 479169, 489525, 490644, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 602271, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 705446, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1416020, 1540172, 1797953, 1927101]"
39,"[717, 2208, 5105, 5268, 5295, 5985, 8633, 11305, 13590, 49931, 51182, 56713, 62111, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101]"
42,"[29325, 29325, 219568, 220383, 261197, 261458, 2321925, 2332530]"
43,"[76862, 82983, 154407, 233915, 235138, 235175]"
44,[63279]
45,"[3859, 8633, 14440, 16592, 49931, 68607, 75901, 364693, 368538, 2355411]"
46,"[51182, 78759, 457363, 1376110]"
48,[5371]
50,[27307]
53,"[13590, 14529, 78759, 128914, 508470, 509122, 715025, 1179716, 1180204, 1220034, 1512419, 1576964, 1623452, 1951263, 2204910, 2354047, 2423265]"
54,[2470081]
55,"[87293, 87712, 226708]"
56,[51182]
57,[1219]
58,"[717, 2208, 5105, 5268, 5295, 8062, 8633, 11305, 13590, 36237, 49931, 56713, 62111, 68607, 71516, 75901, 78759, 82983, 85922, 88232, 119498, 151991, 152995, 161022, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1344392, 1344392, 1348359, 1379628, 1540172, 1797953, 1841532, 1927101, 2068574, 2469552, 2481302]"
60,[374019]
61,"[2580, 4504, 68607]"
63,[25906]
64,"[2658, 118583, 198067, 198357]"
66,"[717, 2208, 5268, 6579, 8633, 11305, 13590, 14805, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 88232, 113614, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 598961, 598961, 599099, 599099, 608601, 622966, 622968, 622970, 622971, 622972, 623658, 624465, 624466, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1166678, 1166680, 1166682, 1166684, 1166685, 1166686, 1166687, 1166688, 1166689, 1166690, 1166691, 1166692, 1220034, 1294151, 1345338, 1348359, 1379628, 1424536, 1540172, 1797953, 1927101, 2154038, 2174752, 2182594]"
69,"[68607, 1704201, 1704202]"
70,"[160849, 161022]"
73,"[717, 2208, 5105, 5268, 8062, 11305, 13590, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 520053, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1836858, 1927101]"
74,"[202260, 202595, 203042]"
75,"[717, 2208, 5105, 5268, 5295, 11305, 13590, 49931, 51182, 56713, 62111, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 650126, 651088, 675133, 716337, 1037712, 1162276, 1178704, 1193367, 1220034, 1294151, 1348359, 1379628, 1540172, 1573837, 1573838, 1573843, 1797953, 1927101, 2231539, 2329819, 2382249]"
76,[2021521]
77,"[19101, 35874, 49931, 63535, 64671, 374019]"
81,"[4843, 4843, 5049, 5049, 5098, 5098, 5143, 5143, 213326, 213354, 292863, 292863, 293300, 293300, 294055, 294055]"
90,[1408997]
95,"[717, 923, 2080, 5268, 8062, 13048, 13590, 14785, 14805, 36237, 56713, 68607, 75901, 78520, 78759, 119498, 151991, 152995, 187372, 276734, 334313, 350698, 356576, 361444, 361469, 365408, 419032, 427010, 436277, 446780, 447415, 447450, 475734, 479169, 489525, 490644, 560078, 570962, 571772, 602271, 608601, 623658, 630975, 649637, 705446, 1379628, 1416020, 1540172]"
96,"[160849, 161022]"
97,"[717, 923, 2208, 5105, 5105, 5268, 5295, 8633, 11305, 11501, 13590, 14440, 18841, 49931, 51182, 56713, 62111, 71516, 75901, 99755, 113614, 119498, 151991, 152995, 172779, 183934, 183934, 187372, 201200, 291635, 319858, 360439, 426660, 427010, 430664, 433672, 436277, 446780, 447450, 453228, 460092, 462435, 465352, 469866, 475734, 479169, 489525, 494280, 499179, 508147, 511600, 511658, 557072, 560078, 565901, 568338, 570962, 571772, 597145, 602271, 608601, 630975, 649637, 650126, 651088, 675133, 698457, 716337, 1037712, 1162276, 1220034, 1294151, 1335704, 1345338, 1348359, 1379628, 1523201, 1523202, 1540172, 1607512, 1607513, 1735707, 1797953, 1927101, 2092127, 2154038, 2174752, 2182594, 2321925, 2332530, 2355503]"
98,"[78759, 426660, 2343831, 2355259, 2359364, 2362905, 2369295, 2377606, 2384069, 2384626, 2391093, 2391516, 2412629, 2422689, 2443073, 2453142]"
101,"[78759, 1331852]"
104,[16547]
105,[8062]
106,"[4496, 5295, 8062, 14440, 50068, 50077, 50078, 50122, 50153, 50189, 50219, 50254, 50256, 50593, 50595, 50640, 50908, 50909, 50944, 51018, 78759, 132751, 316297, 316637, 318390, 512454, 513658]"
110,"[8633, 13590, 460499, 460499, 460500, 460500, 460501, 460501, 460502, 460502, 460503, 460503, 460504, 460504, 460505, 460505, 460506, 460506, 460507, 460507, 460508, 460508, 460509, 460509, 460515, 460515, 460516, 460516, 460517, 460517, 460518, 460518, 460519, 460519, 460520, 460520, 460521, 460521, 460522, 460522, 460523, 460523, 460524, 460524, 460525, 460525, 460526, 460526, 460527, 460527, 460528, 460528]"
112,[5105]
117,"[107431, 107508, 108296, 108327, 108902, 108946]"
118,"[160849, 161022]"
120,"[624225, 1581943]"
122,"[717, 923, 2080, 2208, 5105, 5268, 8062, 8633, 11305, 13048, 13590, 14785, 14805, 36237, 49931, 51182, 56713, 62111, 68396, 68607, 71516, 75901, 78520, 86504, 88232, 119498, 151991, 152995, 183934, 187372, 276734, 291635, 319858, 334313, 350698, 356576, 360439, 361444, 361469, 365408, 419032, 426660, 427010, 436277, 446780, 447415, 447450, 453228, 460092, 469866, 475734, 479169, 489525, 490644, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 602271, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 705446, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1416020, 1540172, 1797953, 1927101]"
123,"[160849, 161022]"
124,[103459]
125,"[27307, 377611, 1076153, 1155085, 1336957, 2055256]"
128,"[160849, 161022]"
132,[2580]
133,"[336913, 1512632, 1512633, 1512634, 1579317, 2385179]"
137,"[717, 923, 2080, 5268, 8062, 8633, 13048, 13590, 14785, 14805, 36237, 56713, 68607, 75901, 78520, 78759, 119498, 151991, 152995, 187372, 276734, 334313, 350698, 356576, 360439, 361444, 361469, 365408, 419032, 427010, 436277, 446279, 446780, 447415, 447450, 475734, 479169, 489525, 490644, 560078, 570962, 571772, 602271, 608601, 623658, 630975, 649637, 651088, 705446, 1379628, 1416020, 1424583, 1540172]"
140,"[29325, 29325, 116927, 117236]"
141,"[5295, 6402, 8062, 28853, 75901, 88232, 99755, 151991, 335615, 382029, 382033, 382035, 460092, 469866, 512200, 512200, 514994, 551964, 552106, 571772, 677886, 677888, 677890, 678119, 678150, 678212, 678213, 678256, 1283609, 1283614, 1287727, 1346017, 1421987, 1421987, 1429397, 1590098, 2092006, 2132546, 2266673, 2266798, 2273627, 2277349, 2353488, 2365870, 2368121, 2376301, 2380541, 2424883, 2427902, 2451988]"
142,"[5105, 172779, 1283609, 1283614, 1424536, 2353488]"
151,[232640]
152,[232640]
153,[6914]
154,"[717, 2208, 4775, 4775, 5105, 5268, 7427, 8633, 13590, 27370, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 88232, 119498, 151991, 152995, 160849, 161022, 183934, 204849, 204849, 205195, 205195, 205209, 205209, 205294, 205294, 205429, 205429, 205521, 205521, 205536, 205536, 205590, 205590, 205763, 205763, 206001, 206001, 206002, 206002, 206007, 206007, 206105, 206105, 291635, 309320, 309320, 309377, 309377, 309431, 309431, 309508, 309508, 319858, 360439, 368538, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 709094, 716337, 1037712, 1162276, 1162323, 1163097, 1220034, 1294151, 1348359, 1349249, 1379628, 1445910, 1445911, 1540172, 1797953, 1927101, 2334733]"
158,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 14529, 22942, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 128914, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 509122, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 715025, 716337, 1037712, 1162276, 1179716, 1180204, 1294151, 1348359, 1379628, 1512419, 1540172, 1576964, 1623452, 1797953, 1927101, 2354047, 2423265]"
159,"[160849, 161022]"
160,"[22942, 90393, 90396, 365281]"
163,"[8062, 49931, 78759]"
164,"[6104, 8062, 54712, 138806, 505076, 598755, 625315, 626456, 628818, 680183, 713037, 1275108, 1281585, 1281585, 1565283, 1581043, 1833732, 1833735, 1833736, 1833739, 2309986, 2314781]"
165,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1376110, 1376110, 1379628, 1540172, 1797953, 1927101]"
166,"[860, 2658]"
169,"[19316, 261089, 579828, 579857]"
170,"[5295, 78759, 2200045]"
171,"[58818, 160170, 160650, 370540, 370548, 370556, 370563, 370564, 370572, 370580, 370588, 370589, 370595, 370601, 370603, 370604, 370605, 370611, 370618, 370649, 370654, 370656, 370662, 370664, 370668, 370675, 370686, 370696, 370711, 370712, 370735, 370741, 370749, 370774, 370782, 1145229, 1145229]"
172,[419596]
173,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1439146, 1540172, 1797953, 1817511, 1817512, 1817514, 1817515, 1817516, 1817517, 1817519, 2083644, 2415514]"
175,[51182]
178,"[27307, 281080, 281080]"
180,"[5295, 75901, 161178, 2387448]"
185,"[2580, 13590, 18841, 51979, 52393, 52696, 106996, 106997, 107285, 107355, 107358, 130909, 150774, 165972, 188773, 188804, 188956, 189109, 189110, 189624, 189665, 190119, 190142, 190143, 205648, 226590, 263673, 264446, 264718, 264719, 264831, 574863]"
186,[368538]
187,"[1163586, 1163588, 1163594, 1163596, 1164088]"
188,"[1163586, 1163588, 1163594, 1163596, 1164088]"
189,"[44165, 44488, 175594]"
190,[441561]
191,"[16758, 16949, 103459, 287231]"
193,"[8062, 560078, 1440750, 1440751, 1440754, 1510819, 1513599, 1513600, 1513601, 1513602, 1513603, 1513604, 1513605, 1513606, 1513608, 1513609, 1513610, 1513611, 1513612, 1513613, 1513614, 1513615, 1513616, 1513617, 1513618, 1513619, 1513620, 1513621, 1513622, 1513626, 1513627, 1513628, 1513629, 1513630, 1513635, 1588121, 1588122, 1588124, 1588128, 1793735, 2217846, 2225711, 2235889]"
194,"[11305, 138562, 382029, 382033, 382035, 1528832]"
195,[78759]
196,"[5295, 21789, 21791, 54135, 54662, 374019, 458543, 458603, 1344392, 1346267]"
198,"[717, 923, 2080, 5268, 8062, 13590, 14785, 14805, 35041, 36237, 56713, 68607, 75901, 78520, 78759, 119498, 151991, 152995, 187372, 213602, 213602, 222692, 222692, 251630, 252049, 252050, 276734, 334313, 350698, 356576, 361444, 361469, 365408, 419032, 427010, 436277, 446780, 447415, 447450, 475734, 479169, 489525, 490644, 560078, 570962, 571772, 602271, 608601, 623658, 630975, 649637, 705446, 1379628, 1416020, 1540172, 1974879, 1974879, 1974880, 1974880, 1974881, 1974881, 1974883, 1974883, 1974884, 1974884, 1974885, 1974885, 1974886, 1974886, 1974888, 1974888, 1974889, 1974889, 1974890, 1974890, 2271785]"
201,"[2658, 239549, 319603, 365281, 430438, 438424, 438524, 438616, 438655, 438658, 438702, 438858, 438905, 439083, 439131, 439133, 479371, 1064085, 1101586, 1422800, 1422823, 1422825]"
204,"[35108, 35874, 35982, 36294, 36533, 36769, 36790, 36791, 36792, 49566, 49567, 50569, 50570, 106755, 106802, 106836, 106866, 107313]"
207,"[207003, 207190, 207211, 207226, 207405, 207426, 207492, 207493, 207495, 207542, 281410, 281885]"
208,[8633]
213,[27307]
217,"[923, 2080, 5105, 7501, 8062, 13048, 14785, 14805, 36237, 61142, 61315, 61675, 78520, 187372, 276734, 334313, 350698, 356576, 361444, 361469, 365408, 436277, 447415, 447450, 475734, 490644, 602271, 705446, 1416020]"
219,[51182]
220,"[717, 5268, 8633, 13590, 16592, 22942, 49931, 56713, 75901, 78759, 119498, 151991, 152995, 360439, 419032, 427010, 446780, 479169, 489525, 560078, 570962, 571772, 608601, 623658, 630975, 649637, 651088, 1178704, 1379628, 1540172]"
221,"[63252, 82763]"
222,"[107431, 107508, 108296, 108327, 108902, 108946]"
223,"[8062, 78759, 187596, 187649, 188011]"
225,[13449]
226,"[11305, 1844293]"
227,"[160849, 161022]"
228,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101, 2021521]"
229,[51929]
231,"[717, 923, 2208, 5105, 5268, 8062, 8633, 13048, 13590, 14805, 35874, 51182, 56713, 62111, 68607, 71516, 75901, 78520, 78759, 88232, 119498, 151991, 152995, 183934, 187372, 276734, 291635, 319858, 334313, 350698, 356576, 360439, 361444, 361469, 419032, 426660, 427010, 436277, 446780, 447415, 447450, 453228, 460092, 469866, 475734, 479169, 489525, 490644, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 602271, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 705446, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1416020, 1540172, 1797953, 1927101]"
233,"[717, 2208, 5105, 5268, 8633, 13590, 14785, 19101, 51182, 56713, 62111, 63535, 63613, 64671, 68607, 71516, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 374019, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101]"
237,"[717, 923, 2080, 2208, 5105, 5268, 8062, 8633, 11305, 13048, 13590, 14785, 14805, 36237, 46106, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78520, 78759, 88232, 119498, 151991, 152995, 183934, 187372, 276734, 291635, 319858, 334313, 350698, 356576, 360439, 361444, 361469, 365408, 419032, 426660, 427010, 436277, 446780, 447415, 447450, 453228, 460092, 462435, 469866, 475734, 479169, 489525, 490644, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 602271, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 705446, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1416020, 1540172, 1797953, 1927101]"
238,"[5295, 46106]"
241,"[173, 717, 2208, 5105, 5268, 8633, 11305, 13590, 14785, 22942, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 75901, 78759, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 611647, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101, 1927101]"
242,"[9097, 14805, 319858]"
244,[626299]
246,"[717, 2208, 5105, 5268, 8062, 8633, 13590, 14440, 22942, 27307, 49931, 51182, 56713, 62111, 71516, 75901, 88232, 119498, 151991, 152995, 183934, 282196, 282198, 282251, 282718, 282782, 282790, 291635, 319858, 336913, 360439, 419032, 426660, 427010, 442943, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 495195, 495196, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1251237, 1294151, 1338908, 1338910, 1348359, 1379628, 1540172, 1797953, 1927101, 1963511, 2084501, 2084601]"
248,"[12437, 214533, 214602, 214603, 269586]"
249,"[146324, 146469, 146828, 147109, 147291, 147292]"
251,[51182]
252,"[717, 923, 2080, 2208, 5105, 5268, 8062, 11305, 13048, 13590, 14785, 14805, 36237, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78520, 88232, 119498, 151991, 152995, 183934, 187372, 276734, 291635, 319858, 334313, 350698, 356576, 361444, 361469, 365408, 419032, 426660, 427010, 429088, 436277, 446780, 447415, 447450, 453228, 460092, 469866, 475734, 479169, 489525, 490644, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 602271, 608601, 623658, 630975, 649637, 650126, 675133, 705446, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1416020, 1540172, 1797953, 1927101, 2083644]"
255,"[717, 923, 2080, 2208, 5105, 5268, 8062, 11305, 13048, 13590, 14440, 14785, 14805, 36237, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78520, 88232, 119498, 151991, 152995, 183934, 187372, 276734, 291635, 319858, 334313, 350698, 356576, 361444, 361469, 365408, 419032, 426660, 427010, 429088, 436277, 446780, 447415, 447450, 453228, 460092, 469866, 475734, 479169, 489525, 490644, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 675133, 692959, 698457, 705446, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1376138, 1377987, 1379628, 1405757, 1416020, 1540172, 1797953, 1840420, 1840421, 1927101, 2092127, 2316241, 2317299, 2321835, 2324482, 2325240, 2326887, 2332332, 2332431, 2355503]"
256,[2083644]
257,"[11501, 382029, 382033, 382035, 479370, 479371]"
258,"[2208, 5105, 11305, 47579, 51182, 62111, 71516, 78759, 88232, 183934, 226525, 226549, 291635, 319858, 345080, 360439, 426660, 442927, 453228, 460092, 469866, 494280, 508147, 568338, 597145, 618426, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1797953, 1927101, 2366607, 2425912]"
259,"[717, 923, 2080, 2208, 5105, 5268, 8062, 8633, 11305, 13048, 13590, 14785, 14805, 36237, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78520, 78759, 88232, 119498, 151991, 152995, 183934, 187372, 276734, 291635, 319858, 334313, 350698, 356576, 360439, 361444, 361469, 365408, 419032, 426660, 427010, 436277, 446780, 447415, 447450, 453228, 460092, 469866, 475734, 479169, 489525, 490644, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 602271, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 705446, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1416020, 1540172, 1797953, 1927101]"
260,"[313314, 365281, 1631605]"
263,[103459]
264,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 88232, 119498, 151991, 152995, 183934, 291635, 319858, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1270497, 1270498, 1270501, 1294151, 1348359, 1379628, 1540172, 1797953, 1927101]"
266,"[675, 14785, 14805, 77128, 457144, 457271, 457272, 457273]"
269,"[5284, 5295, 5389, 11305, 160857, 161178, 231732, 387663]"
273,"[5371, 16524, 19101, 19840, 19841, 49931, 68607, 75901, 78759, 137807, 182634, 182732, 182797, 183134, 183137, 183291, 183326, 195012, 203665, 204071, 204198, 204242, 204268, 204282, 204303, 204306, 204380, 204382, 204645, 297513, 297536, 297558, 297559, 297562, 297575, 297628, 297629, 297630, 297631]"
274,"[18841, 52393, 106996, 106997, 107285, 107355, 107358, 130909, 150774, 165972, 165972, 188773, 188804, 188956, 189109, 189110, 189624, 189665, 190119, 190142, 190143, 263673, 264446, 264718, 264719, 264831, 574863]"
278,"[8062, 18696, 336913]"
280,"[6579, 625041]"
281,"[6216, 8917, 16758, 16949, 22942, 68607, 103459, 361469, 361480, 365284, 406465, 625907, 701175, 716337, 1059763, 1072466, 1072472, 1072473, 1072475, 1072476, 1072477, 1072479, 1072484, 1072485, 1072486, 1074497, 1074623, 1074625, 1074626, 1074627, 1074628, 1074632, 1139491, 1139501, 1251106, 1251110, 1251111, 1339206, 1339207, 1444285, 1444287, 1444288, 1444289, 1444290, 1444291, 1444293, 1444294, 1444295, 1727665, 1757249, 1757250, 2220817, 2417563]"
282,"[717, 923, 2080, 2208, 5105, 5268, 8062, 11305, 13048, 13590, 14785, 14805, 36237, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78520, 78759, 88232, 119498, 151991, 152995, 183934, 187372, 276734, 291635, 319858, 334313, 350698, 356576, 360439, 361444, 361469, 365408, 419032, 426660, 427010, 436277, 446780, 447415, 447450, 453228, 460092, 469866, 475734, 479169, 489525, 490644, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 602271, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 705446, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1416020, 1540172, 1797953, 1927101]"
284,[48789]
285,"[8633, 68607, 78759]"
289,[2208]
290,[5371]
293,"[717, 2208, 5105, 5268, 8633, 11305, 13590, 14529, 49931, 51182, 56713, 62111, 68607, 71516, 75901, 78759, 78759, 88232, 119498, 128914, 151991, 152995, 183934, 291635, 360439, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 509122, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 715025, 716337, 1162276, 1179716, 1180204, 1294151, 1348359, 1379628, 1512419, 1540172, 1576964, 1623452, 1797953, 1927101, 2005315, 2005389, 2354047, 2423265]"
294,"[1763, 1994, 334337, 460024, 688415, 1343353, 1353086, 1355635, 1355638, 1355639, 1355640, 1355646, 1355647]"
295,[4504]
298,[3859]
300,"[1791897, 1791911, 1791916]"
301,"[717, 923, 2080, 5268, 8062, 13048, 13590, 14785, 14805, 17169, 27307, 36237, 56713, 68607, 75901, 78520, 119498, 151991, 152995, 187372, 276734, 329475, 334313, 350698, 356576, 361444, 361469, 365408, 374719, 419032, 427010, 436277, 446780, 447415, 447450, 475734, 479169, 489525, 490644, 521906, 560078, 570962, 571772, 582652, 582796, 582797, 602271, 608601, 623658, 630975, 649637, 676182, 705446, 1379628, 1416020, 1510500, 1540172, 1829708, 1829711, 1829723, 1829726]"
302,"[717, 2208, 4775, 5105, 5268, 5295, 6104, 8633, 11305, 13590, 14785, 30884, 51182, 56713, 62111, 71378, 71516, 75901, 119498, 151991, 152995, 162058, 183934, 291635, 319858, 360439, 362038, 362062, 362069, 362078, 362104, 362114, 362121, 362131, 362138, 362147, 373381, 419032, 426660, 427010, 446780, 453228, 460092, 469866, 479169, 489525, 494280, 508147, 560078, 568338, 570962, 571772, 597145, 608601, 623658, 630975, 649637, 650126, 651088, 675133, 716337, 1037712, 1162276, 1220034, 1294151, 1348359, 1379628, 1439146, 1540172, 1797953, 1927101, 2048901]"
